"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7"
"1100",-0.0449223391986781,0.0202523353892395,0.0138011488356708,-0.00345537750275434,-0.0221930466241002,-0.0235180742793199,0.0198916573256161
"1102",-0.0449336666908296,0.0202434880957565,0.0137751327743212,-0.00346281110726703,-0.0221704846856335,-0.0234914636090588,0.0198592136184529
"1104",-0.0450073971277977,0.020171574899666,0.013603418122329,-0.00350218822524594,-0.0220592107792424,-0.0234482641082285,0.0194546827436963
"1106",-0.0451185505918242,0.0200616696380546,0.0133430697424019,-0.00356909556765118,-0.0219086346047224,-0.0234749895179092,0.0184407090106544
"1108",-0.0452092377388181,0.019980713989301,0.0131408186186625,-0.00362568877243465,-0.0217027314452298,-0.0234226275552765,0.0176929496793321
"1110",-0.0453194782950257,0.0198688678330652,0.012898988667884,-0.00372746324437937,-0.0215159910525373,-0.0232383946167505,0.0175169184351597
"1112",-0.0454458910107343,0.0197273211352081,0.0125887334856971,-0.00392628736263355,-0.0214823424028126,-0.023096664673499,0.0175386757905142
"1114",-0.0455472135514014,0.0196140988228228,0.0122892422239547,-0.00411968607193658,-0.0214573339421186,-0.0228417258429553,0.0180498711859068
"1116",-0.0456405564256334,0.0195135840148862,0.0119952037852387,-0.00423783967386145,-0.021327177173529,-0.0224862909820786,0.0187900788813331
"1118",-0.0457548550913287,0.0193916593101283,0.0116623785101511,-0.00434462384404149,-0.0211592785453459,-0.0222960308995054,0.0186270277241101
"1120",-0.0459077193974272,0.0192250933325193,0.0112570795241343,-0.00449637974879547,-0.0209901236607309,-0.0222435036311908,0.0176698798122333
"1122",-0.0460923827921617,0.0190207411308008,0.0107659915706952,-0.00470694324253277,-0.0208143303542605,-0.0222080540184107,0.0165588013322848
"1124",-0.046287752214693,0.018804750289036,0.0101881437744123,-0.00494598281943807,-0.0205848250654493,-0.0220377210283005,0.0156661431174112
"1126",-0.0465094279613796,0.0185562899770586,0.00947747945538143,-0.0052380427900807,-0.020298099602405,-0.0217622961844054,0.0149043134538137
"1128",-0.0467607571077758,0.0182709996432942,0.00861502178011825,-0.00556983428320179,-0.0199148880493659,-0.0213148561013773,0.0143273426657029
"1130",-0.0470335542846441,0.0179544974881806,0.00756509350696147,-0.00595844376087242,-0.0194539075173133,-0.0206918627546465,0.0138093959777513
"1132",-0.0473232623176578,0.0176060714130413,0.00628592001516333,-0.00644486012109796,-0.0189480891680233,-0.019978195806908,0.0130619881629433
"1134",-0.0476105087412477,0.0172420912702696,0.00476144400461569,-0.00700244148400691,-0.0183415385118724,-0.0191557774415482,0.0121786699022559
"1136",-0.0478755630736496,0.0168761844055252,0.00298143501569986,-0.00762895618388173,-0.0176131007289841,-0.0180479099860807,0.0116671746709214
"1138",-0.0480924024289181,0.016528180301624,0.000959650203597621,-0.00831917705798657,-0.0167808116838991,-0.0166475019404752,0.0113595610672924
"1140",-0.0482322881605447,0.0162172065838774,-0.00130397963447521,-0.00904281226126833,-0.0157753538243895,-0.0149088656794997,0.0115589802169331
"1142",-0.048265823197074,0.0159637144628306,-0.00378903347997996,-0.00976061278135296,-0.0145702969850621,-0.0126953954612381,0.0125025326803999
"1144",-0.0481083521835536,0.0158672652459337,-0.0063503527763961,-0.0103981966186941,-0.0131231113366832,-0.0099960337544501,0.014317172919003
"1146",-0.0476927698310336,0.0160101238342836,-0.00884241225685533,-0.0108661013642635,-0.011385247453767,-0.00684007742260797,0.0170571083859519
"1148",-0.0470074273376116,0.0164132848929247,-0.0111463082780005,-0.0111164479945687,-0.00938610011699124,-0.00338521480741638,0.0205055646391507
"1150",-0.0460706453580412,0.0170687318721962,-0.013165191747083,-0.0111624221630167,-0.00711533838701441,0.000323357107896518,0.0250960148089039
"1152",-0.0448755931924185,0.0180150049811255,-0.0147526683223874,-0.0109455074125171,-0.00456019361422887,0.0040543754334383,0.0301730475073761
"1154",-0.0434258647944152,0.0192839570081067,-0.0157790041832301,-0.010472509823934,-0.00188214429627632,0.00759187112688251,0.0351034309378596
"1156",-0.0418297282761545,0.0207611127461026,-0.0163233443105052,-0.00990021386994889,0.000576584950613426,0.0104583365460442,0.0388603855965674
"1158",-0.0401384094164338,0.0224101436954067,-0.0163744730101598,-0.00914641421914846,0.0030048215308224,0.0131407628101228,0.04246107094031
