"","Comp 1","Comp 2","Comp 3"
"1100",0.0337255536597573,-0.0365722060503392,-0.0263301201986222
"1102",0.0344603507784982,-0.0369977263829624,-0.0276630905438736
"1104",0.03499565304968,-0.0372753169951497,-0.0287004267788058
"1106",0.0353946025023612,-0.0374573442421617,-0.0295243600843168
"1108",0.0356980399315229,-0.0375763267843946,-0.0301908437979162
"1110",0.0359330309470697,-0.0376529410703687,-0.0307387460829623
"1112",0.0360415981568562,-0.0377836425925121,-0.0313504093478258
"1114",0.0362539365912383,-0.0378482997164358,-0.0319552228671934
"1116",0.0365879682482287,-0.0378384224800667,-0.0325022458119538
"1118",0.0370174914762275,-0.0377412928339193,-0.0329734694885621
"1120",0.0375832445953603,-0.0374868395393468,-0.0332306911561912
"1122",0.0382068835503555,-0.0371557962384158,-0.0333347541619881
"1124",0.0388595070573248,-0.0368023959367454,-0.0334067867359603
"1126",0.0395951057553512,-0.0363715136729637,-0.0334012520228779
"1128",0.0404146461536542,-0.0358423365492715,-0.0333133362342079
"1130",0.0412795522492536,-0.0352490002869433,-0.0332025140073269
"1132",0.042145018856475,-0.0346262199560239,-0.0331021314496879
"1134",0.0430274314521433,-0.0339548749867991,-0.0329761482543829
"1136",0.0439718069453957,-0.0331916141133692,-0.0327889640742362
"1138",0.0449929858672104,-0.0323221804665435,-0.0325160199579447
"1140",0.046095755263987,-0.0313364750274952,-0.032116608641589
"1142",0.0473071880404511,-0.0302142200742809,-0.0315665630034008
"1144",0.0486702657399051,-0.0289239722064276,-0.0308409809752807
"1146",0.0502199570514874,-0.0274432300556849,-0.0299268158675171
"1148",0.0520031526984448,-0.0257277374975305,-0.0287758577901033
"1150",0.0540728162697054,-0.0237272002988274,-0.0273253719443834
"1152",0.0564602392535116,-0.0214289769277461,-0.0255415466785322
"1154",0.0591884583444239,-0.0188178342275772,-0.0233990804399135
"1156",0.0622826189893864,-0.0158727191089174,-0.0208923428541096
"1158",0.0657569401491964,-0.0125709659603733,-0.0180210859882219
"1160",0.0695663712372122,-0.00892072077672064,-0.014788193459558
"1162",0.0735521370059014,-0.00503948196283101,-0.0113191851936591
"1164",0.0775178527750518,-0.00110907202056353,-0.00779008239605398
"1166",0.0812965922092366,0.00271944194352322,-0.00434566445634539
"1168",0.0845541981280064,0.00609382601124001,-0.00139496657011887
"1170",0.0870760612220241,0.00876269674630505,0.000726000398096032
"1172",0.0888706946092013,0.010700777476218,0.00196506209985816
"1174",0.0899017406335225,0.0117853498256732,0.00234395952833293
"1176",0.0902654733350169,0.0121205711479159,0.00216020743744936
"1178",0.0901607148476791,0.0119376285223376,0.00147967493364605
"1180",0.0897310052653919,0.0114202211018196,0.000477219357207555
"1182",0.089157730416412,0.0108026079896709,-0.000370551721032524
"1184",0.0886510481008242,0.0103104562427808,-0.000913209108004893
"1186",0.0884342634445937,0.0101731647643293,-0.00102360968128843
"1188",0.0888236889937887,0.0106955375689318,-0.000345622033217814
"1190",0.0900086685348771,0.0121623967035983,0.00137470725609243
"1192",0.092219266552807,0.0151052829650276,0.00454246569693713
"1194",0.0955349804249438,0.0202828976497049,0.00980561622288297
"1196",0.0989692339015596,0.0289891739145631,0.0190318026440184
"1198",0.095191971338345,0.0422896980218255,0.0352414858739799
"1200",0.0610901549923418,0.0502662798488471,0.0505263816151724
"1202",0.00899350805046505,0.0399245360087884,0.047406050558456
"1204",-0.0234371539496367,0.0271777164445967,0.0389208428812804
"1206",-0.0402469990231388,0.0188077341429557,0.0337512396669138
"1208",-0.0500524914996517,0.0130267832025759,0.0307141289550707
"1210",-0.0565592503021932,0.00835768101215581,0.0285307497209331
"1212",-0.0608495382561186,0.00481763517052588,0.0272713716698443
"1214",-0.063286788559122,0.00254472237444992,0.0270232189797903
"1216",-0.064529921589343,0.00111530772213803,0.0271409600826903
"1218",-0.0649107282730387,0.00044002871587409,0.0273835988178125
"1220",-0.0648190144286926,0.000437739751267458,0.0277647670897001
"1222",-0.06437198853394,0.00103494727381856,0.0282545036013259
"1224",-0.0637554223669844,0.00206200156784702,0.0286272806497839
"1226",-0.0631205935038258,0.00335123459143888,0.0287416043959784
"1228",-0.0621194650147543,0.00521329177071557,0.029134657834934
"1230",-0.0608416458460966,0.00749183867831423,0.0297504953199806
"1232",-0.0595324875471664,0.00972845873827559,0.0301067476833988
"1234",-0.0581331724262063,0.0119338085989596,0.030347266412073
"1236",-0.0566152830871666,0.0141207264554252,0.0307347231655358
"1238",-0.0551731675337449,0.0160637257783263,0.0311267695091427
"1240",-0.0538682168360618,0.0177374413602384,0.0312666586033135
"1242",-0.0531119526249814,0.0188372626986455,0.0308574897911431
"1244",-0.052955602555894,0.0193684527566759,0.0302224415445666
"1246",-0.0532017062474711,0.0195209955753811,0.02948724324786
"1248",-0.0538825706285063,0.0192094010126488,0.0284709730974779
"1250",-0.0548034671227906,0.018540177130796,0.0272894192912025
"1252",-0.0564116121240059,0.0172234219101068,0.0256037371345203
"1254",-0.0590810266299928,0.0148777998848514,0.022913794686035
"1256",-0.0631142618326027,0.0111844795111794,0.0188085308127904
"1258",-0.0694568489083976,0.0050753077615566,0.01219046702113
"1260",-0.0793880769274676,-0.00564019224462424,0.00114989061693905
"1262",-0.0938072240080547,-0.0255139054632163,-0.019367118221841
"1264",-0.105359699634702,-0.0605929335283028,-0.0575822331310345
"1266",-0.0795750856842779,-0.0840986466669042,-0.0855916555974121
"1268",-0.0410046735194567,-0.0780465267525526,-0.0818508211526154
"1270",-0.0182434126259195,-0.0690214414028384,-0.0737085256217987
"1272",-0.00482737669485867,-0.0623840511374561,-0.067493361861881
"1274",0.0036237908022023,-0.0577213862076197,-0.0629905978091567
"1276",0.00937319323506072,-0.0543200278442972,-0.0596612245895375
"1278",0.0137215364259742,-0.051591318760947,-0.0569746231393737
"1280",0.0171679665264891,-0.0492866135474499,-0.0547355824349315
"1282",0.0199667078519043,-0.0473097862611764,-0.0528060499939401
"1284",0.0223763249446912,-0.0455164992837551,-0.0510456242045329
"1286",0.024506248994913,-0.0438946842770998,-0.0495419278692689
"1288",0.0263870103682886,-0.0423968671783843,-0.048164951062291
"1290",0.0279680084466039,-0.0410586537452114,-0.0469271657789873
