"sample","y","yhat.cal","yhat.val"
"ak01",12.4,12.6969943389628,12.7700473033626
"ak02",13.1,13.3836273312019,13.2774877142214
"ak03",12.7,12.2793299044626,12.2162462540991
"ak04",10.2,10.6127088989806,10.6362693849852
"ak05",11.4,12.6190590362645,12.7637881242111
"ak06",10.7,11.2534278367917,11.3752400555748
"ak07",11.5,11.817819532778,11.7034364195008
"ak08",11.6,11.2713486326547,11.1651894050893
"ak09",11.6,11.3968005068861,11.375155925063
"ak10",11.2,11.3954047699296,11.4313818053802
"ak11",13.9,13.7001042551615,13.7341402959984
"ak12",10.6,10.6518397314268,10.8234494230694
"ak13",12.4,12.4295863096012,12.2962189396472
"ak14",11.1,11.1673130416149,11.3356742074627
"ak15",11.4,11.0174720252611,10.9651886921508
"ak16",12,11.5939141341346,11.5575215367163
"ak17",14.2,13.5814513486507,13.5778533988967
"ak18",12.1,11.033227745465,10.883650977806
"ak19",12.2,11.9763757676776,11.9455496271357
"ak20",11.5,11.3049652554405,11.1796958623875
"ak21",10.4,10.6712955798572,10.5741360802933
"ak22",11.2,11.0596404553681,11.0014237678546
"ak23",12.6,12.8405308706079,12.9734744162718
"ak24",11.7,11.5025593932183,11.5860158636473
"ak25",12.9,13.2324283009766,13.369829404212
"ak26",12.3,12.5893342737876,12.605301728568
"ak27",11.3,11.5522592401902,11.5398842037575
"ak28",13.8,13.8235607320472,13.768432033557
"ak29",13.3,13.1736855665203,13.1251087842503
"ak30",12.1,11.9603762049935,11.9571513480497
"ak31",12,12.3339040125588,12.5036479272198
"ak32",13.9,13.2635068951812,13.254686690519
"ak33",10.7,11.0416929342976,11.1572858218967
"ak34",12.2,11.6688572344437,11.5759625192508
"ak35",11.8,11.637639146849,11.5585601444268
"ak36",10.9,11.3689344311298,11.4686202080984
"ak37",11.6,13.0043051121728,13.4136184108829
"ak38",11.6,11.9284101011492,11.9091164009563
"ak39",11.4,10.9286480918658,10.7960484442677
"ak40",13,13.3523403819082,13.2703438102099
"ak41",11.8,12.1272288817358,12.271103062993
"ak42",11.1,11.3624967495784,11.4199434567334
"ak43",11.7,11.5384813981902,11.5270955866708
"ak44",10.7,11.7132342557584,11.8921109328207
"ak45",12.8,12.3048846344571,12.1210697447768
"ak46",12.8,12.9025071089276,12.9866737826255
"ak47",13.1,12.088967985573,11.9025408838573
"ak48",13,12.5270119883498,12.4878873481702
"ak49",12.9,12.5060224945863,12.4301017190099
"ak50",14.7,13.9124851403741,13.8051201297163
