"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7"
"1100",-0.0309923608318369,-0.157202870971938,0.0455820624721005,0.0552498100477826,0.0100138392063225,0.0059390870080763,-0.0354490926807834
"1102",-0.0308852450688193,-0.156986173355666,0.0456089819826047,0.0551866462378403,0.0099060561239516,0.00592925927966876,-0.0354045637924972
"1104",-0.0304177521826553,-0.156060802501433,0.0456752374396272,0.0547004553027012,0.00917665660319383,0.00580570158409956,-0.0350276289465869
"1106",-0.029776161565211,-0.154796505408642,0.0457484067508478,0.0539973999070617,0.00808818418945585,0.0055678514494311,-0.0347091254114071
"1108",-0.0292047867080086,-0.153640956254417,0.0458717242376875,0.0536378268403509,0.00734952577622236,0.0054267784622281,-0.03385888423204
"1110",-0.0286805530149679,-0.152598287773665,0.0459305482308393,0.0530379369398706,0.00640793825398442,0.00500135548876129,-0.0327241820340121
"1112",-0.0281419747916987,-0.151553904237475,0.0459127003984152,0.0520636922349436,0.00507872970916063,0.00413292582489344,-0.0324465296534623
"1114",-0.0275082419564832,-0.150299310008524,0.0459325701303799,0.0510742431059402,0.00374914696841716,0.00324674023603842,-0.0322708870138413
"1116",-0.0268118506790473,-0.14890275854875,0.04598444886658,0.0501170745340885,0.00247372852171673,0.00262804749292457,-0.0317021354803869
"1118",-0.0260797705531397,-0.147433666861964,0.0460325249093686,0.0491239962387188,0.0011239434966594,0.00210556951948743,-0.0312255175980372
"1120",-0.0252919730230631,-0.145858119167538,0.0460592502393247,0.0479959798720647,-0.000411780002893637,0.00149459311819772,-0.030748266637729
"1122",-0.0243765819824442,-0.144019333795295,0.0460841999482301,0.0466757283924558,-0.0022006552235176,0.000714654137676212,-0.0301869591156851
"1124",-0.0232459751583308,-0.141721180637041,0.0461418554195227,0.0451712527021382,-0.00425973731286014,-0.000180045335292734,-0.0293941216525219
"1126",-0.021868543564735,-0.138891197986689,0.0462250266801987,0.0433810363666449,-0.00669385864793652,-0.00125228415481948,-0.0283972848174047
"1128",-0.0202052166520845,-0.135440678183006,0.0463375152540847,0.0413193675334646,-0.00947013042798908,-0.0024172257764324,-0.0269232823127393
"1130",-0.0182291426983487,-0.131301869190152,0.0464751269099148,0.0389770530693303,-0.0126252536496319,-0.00366992734462929,-0.0250922635203763
"1132",-0.015930919585829,-0.126432772972945,0.0466418020943121,0.0363587670030711,-0.0161432970472094,-0.00504443226713883,-0.0232054891960388
"1134",-0.0133133505976778,-0.120813516889238,0.0468513832416632,0.0335419977018429,-0.0198887706778723,-0.00641004045817613,-0.0211175569925661
"1136",-0.0104296411416463,-0.114548310193191,0.0470857337147518,0.0305866584284465,-0.0237301771090722,-0.00776328816769182,-0.0187293865200669
"1138",-0.00735814365223205,-0.107799590924757,0.0473326648061787,0.0276056943381883,-0.027458967825479,-0.00903187662266406,-0.0161903663562658
"1140",-0.00420519654686904,-0.10078813455511,0.0475889648553604,0.0247034618027642,-0.0309467012030981,-0.0101321669412391,-0.0132849653708762
"1142",-0.00107713574177481,-0.0937568522540868,0.0478349660563745,0.0219521085651707,-0.0341001495232011,-0.0110284587397242,-0.0100728925878416
"1144",0.00196581053054945,-0.0868334466872366,0.0481245761343507,0.0196328154508865,-0.0366252861101858,-0.0115767189927853,-0.00670500937334126
"1146",0.00484780672159166,-0.0801947841358956,0.0484851596159895,0.0179269788812105,-0.0383859261993003,-0.0116536462590097,-0.00311136310272203
"1148",0.00749649011519331,-0.0740252955750025,0.0489031096422835,0.016823273692789,-0.0394118552757686,-0.0113141671093862,0.000381463688532049
"1150",0.00986371247282049,-0.0684507712347475,0.0493688873421769,0.016268530887306,-0.0398075614335975,-0.0107321165201342,0.00372686885327944
"1152",0.0119546048016343,-0.0634658373312085,0.0499136232171449,0.0163377165990013,-0.0395585125624464,-0.00982884763648417,0.00699985874385024
"1154",0.0137901273137048,-0.0590356497871227,0.0505424758933588,0.0170239961744421,-0.0387127006325556,-0.00863831688389598,0.00990548395751198
"1156",0.0153662530070001,-0.0551933289899261,0.0511964581057763,0.0180902984802596,-0.0375399377999298,-0.0073570429070717,0.0119960264467764
"1158",0.0167195733004851,-0.0518618162210019,0.0518727398673771,0.0194846128468891,-0.0360854690413706,-0.00594268039099042,0.0139490028437878
"1160",0.0178805478926389,-0.0489735353210591,0.05256298747383,0.0211160280603616,-0.0344391296489898,-0.00447511513594674,0.0157563023724359
"1162",0.0188682872045916,-0.0464915753296229,0.0532216531663219,0.0227458652302524,-0.0328375941509447,-0.00316243990393519,0.0168531043480352
"1164",0.0197369355869073,-0.0442919701092344,0.05386278101927,0.0244091875241942,-0.0312039987403095,-0.00185148653131292,0.0175965880506132
"1166",0.0205032416533591,-0.0423393317594747,0.0544786425615703,0.0260838478609168,-0.0296059907119888,-0.000567020843313977,0.0180380130936126
"1168",0.0211895354644238,-0.0405804244803897,0.0550659332698891,0.0277261012489857,-0.0280955194911168,0.000625515010897301,0.0184016817171532
"1170",0.0218245140547859,-0.0389448233850449,0.0556363515339272,0.0293343339775648,-0.026586719208555,0.00185027632185592,0.0188569383060151
"1172",0.0224229958718447,-0.0373979608326762,0.0561860425944534,0.0308857181387975,-0.0251403759314447,0.00302445121482087,0.0190384422075736
"1174",0.0229997253445458,-0.035903954287616,0.0567273845458644,0.0324341874262563,-0.0237250447440457,0.00420593582989646,0.0193182001277433
"1176",0.0235696051011326,-0.0344247045792426,0.0572727002644879,0.0340080240553766,-0.0222967338335302,0.00542440721344387,0.020020680757208
"1178",0.0241107572185191,-0.0330221433656508,0.0577736395758396,0.0354325728963959,-0.0209981221306167,0.0065169146612432,0.0205688564930459
"1180",0.0246247464791391,-0.0316938408469925,0.0582294008435776,0.0367174542756361,-0.019837489272265,0.00752889782115624,0.021089316601864
"1182",0.0251152265348707,-0.0304280428243461,0.05865697868806,0.0379255137928687,-0.0187554433195594,0.00848429348905553,0.0217342638438725
"1184",0.0255763532329737,-0.0292400321879455,0.059048078183626,0.0390189627315424,-0.0177646243115334,0.00929095389034151,0.0224102083319617
"1186",0.0260156182610346,-0.0281089902880924,0.0594173886889043,0.0400474152504001,-0.0168087538642608,0.0100766009934663,0.0230357114572692
"1188",0.0264183261742916,-0.0270708558687858,0.0597600246948706,0.0410160353099895,-0.0159384201463629,0.0108394826310333,0.0235425772932725
