"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8","Comp 9","Comp 10"
"1100",0.819980793038194,3.85803458619678,3.4441123019406,3.07185175326085,2.28295831300108,1.91019930456754,1.85212385999006,1.84535244331671,1.87471434480392,1.88969519521611
"1102",0.817146776333798,3.85266391616221,3.43950645277237,3.06777740579094,2.27980005736821,1.90755566882962,1.849565388532,1.8427779554585,1.87192184633569,1.88664710098134
"1104",0.80477807716898,3.8297224678778,3.41973355324056,3.04961166608866,2.26541130567363,1.8954602429566,1.83767683984257,1.83068438601837,1.85922164049081,1.87280511474714
"1106",0.787803184996279,3.79837971932296,3.39269121064122,3.02465103171175,2.24564505343906,1.87880292600182,1.82151608143891,1.81380520657376,1.84293196352297,1.85412564793282
"1108",0.772686027220754,3.76974842588167,3.36811740397321,3.00284133025422,2.22871150587315,1.86457420991319,1.80710819593857,1.79919014418485,1.82762974488731,1.83726779676556
"1110",0.758816107414089,3.74391008939718,3.34583589321285,2.98221369819519,2.21253036151875,1.85080831391099,1.79286282486629,1.78531719187247,1.81123151658283,1.82039253049979
"1112",0.744566667010834,3.71802179191833,3.32335051567646,2.96026428509554,2.19519149758917,1.83587093849836,1.77837946039793,1.77116341772345,1.79421098261439,1.80329574368526
"1114",0.727799672214475,3.68693708909982,3.29644794376894,2.93456586359932,2.17531551049088,1.81888705554118,1.76205316126401,1.75530805524601,1.77476210762708,1.78441659181583
"1116",0.709374890861574,3.65234717695065,3.26658678619775,2.90648714546361,2.15393951891236,1.800812770139,1.74429365290513,1.73797140739068,1.75416230255605,1.76400451281251
"1118",0.690005871332331,3.61596685354301,3.2351774199077,2.87700883178497,2.13174330057249,1.78211752560033,1.72603744187392,1.71937789403705,1.73465909460235,1.74298022876858
"1120",0.669162707851794,3.5769552901401,3.2014537549253,2.8451935714945,2.10808970595664,1.76221756006741,1.70663548732104,1.69933141223937,1.71481576634524,1.72081425308927
"1122",0.644943737393252,3.53143810826881,3.16210885298223,2.80809156762413,2.08095459193456,1.73943347171856,1.68440750788104,1.67657587973228,1.69184912867597,1.69568291295518
"1124",0.615030692521286,3.47457367211168,3.11304325508062,2.76227321472916,2.04803828540931,1.71189082842237,1.65742613400992,1.64923470945824,1.66352729996294,1.66551549420811
"1126",0.578587278074706,3.40458238468324,3.05272472829941,2.70616461556921,2.0085915277848,1.67901507215242,1.62517596768739,1.61673024522458,1.62932047033166,1.62969544732727
"1128",0.534579784475966,3.3192890263272,2.97931831094567,2.63827378869575,1.96199398381367,1.64034289856557,1.58696404228081,1.57840956510764,1.58841077592286,1.58749361451719
"1130",0.482297781937395,3.21704622762117,2.89144610738365,2.55742914847932,1.90809802932359,1.59580765338175,1.54286857031633,1.53431348556111,1.54128906680165,1.53929514722258
"1132",0.421492513806717,3.09685642270139,2.78833771683578,2.46301443356924,1.84731631913689,1.54584886680604,1.49360001638461,1.48507060305053,1.48910421980504,1.48618916880317
"1134",0.352238147984686,2.95828176476025,2.66976932274582,2.35506234343021,1.78035243029641,1.49104799252962,1.43959591762135,1.43111322525267,1.43239474566088,1.42886858461699
"1136",0.275942367244438,2.80395337464921,2.53810910054527,2.23575007842676,1.70934573814199,1.43322844810163,1.38254874556018,1.37420430772475,1.37276933075682,1.36906426774376
"1138",0.194678182148945,2.63794300462253,2.39699366811246,2.10845276947885,1.63662510048489,1.37427636965051,1.32442246747492,1.31624062323585,1.31265222539053,1.3091918956113
"1140",0.11125904277163,2.46575601861836,2.25131045954075,1.97757158920445,1.56501577122494,1.31639655122125,1.26724790363303,1.25931998704677,1.25406124281295,1.25120414724821
"1142",0.0284983330099523,2.29342409341047,2.10630499872504,1.84772891145448,1.49712012978687,1.26160292113414,1.21312037537099,1.20549427852799,1.19921292330469,1.19714136412879
"1144",0.052010457885058,2.12413653969331,1.96503615562422,1.72208124829885,1.43231252090918,1.20897188580118,1.1613659353496,1.15406916443787,1.1475071348685,1.1462586154848
"1146",0.128260909894389,1.96226371786981,1.8314606402241,1.60428918040031,1.37044439523257,1.15794596474399,1.11156542362032,1.10468987242444,1.0985560572458,1.09794692920735
"1148",0.198338485506554,1.81231898812158,1.7094031749813,1.49754961078878,1.31208188785509,1.10896819608783,1.064322835029,1.05789875010418,1.05277116845783,1.05267710641325
"1150",0.26096930206929,1.67733385366047,1.60132208365081,1.40387745086191,1.25787719648252,1.06290910494766,1.02049033423839,1.01457575450178,1.01096437584614,1.01118396900192
"1152",0.316289113271829,1.5571178659782,1.50712619168408,1.32344001365206,1.20647508667284,1.01850638282972,0.978882703522631,0.973572071900617,0.971879100642289,0.972184609336787
"1154",0.36485247419982,1.45075640296395,1.42599447801925,1.2557371856964,1.15707416051053,0.975263830128086,0.938888338774551,0.934226774295167,0.934592695619545,0.934876931163234
"1156",0.406552840394207,1.35895124870277,1.35795768670767,1.20051853097144,1.11181355254731,0.935451190593287,0.902203820162498,0.898065615510672,0.90013514848011,0.900492808044615
"1158",0.442358329801989,1.27974950619685,1.30118219977308,1.1563190705777,1.07010904608803,0.898623750817195,0.868651529350876,0.865179472268302,0.869041712026025,0.869339089837737
"1160",0.473074830295026,1.21143682613008,1.25401440380191,1.12168446719966,1.03206749925019,0.865116622652113,0.838502110742289,0.835700777565172,0.841308406268734,0.841501238269246
"1162",0.499207956090915,1.15303789192456,1.21512250075325,1.09479656454177,0.999214160054039,0.8364726326153,0.812506403045263,0.810072921456567,0.816706718476442,0.816989860779093
"1164",0.522190232054572,1.10155463116194,1.18211167434954,1.07372093435389,0.969695488087755,0.810982948744151,0.789241121525886,0.787111549010541,0.794506073984983,0.79486305835558
"1166",0.542464784854488,1.05609711111194,1.15407626713312,1.05758216599009,0.943793686407416,0.788929537541976,0.768941340276743,0.766899815480769,0.774605122607217,0.775097027075352
"1168",0.56062241235849,1.01537282873972,1.12989104454011,1.04520238931803,0.921378660680077,0.770204141300631,0.751738596215091,0.749816387341797,0.757822655656415,0.758420832886433
"1170",0.577422366737975,0.97771699452202,1.10835070394069,1.03551074913936,0.901010529639992,0.753604762642475,0.736715196178658,0.735053469812713,0.743678780701614,0.744267661162787
"1172",0.593256707259289,0.942317668009543,1.08878539598001,1.02777824835747,0.882859455833059,0.73925972984095,0.723466447707665,0.721816042403353,0.730600413769989,0.731315218602026
"1174",0.608515534844575,0.908349317298419,1.07068535750246,1.02181665258051,0.866543456837189,0.72688676471922,0.712240923308398,0.710661096571134,0.719679307507818,0.720460466916813
"1176",0.623593135975963,0.874956026826263,1.05357134464373,1.01738849847023,0.85157913626453,0.716153724827175,0.70324057524424,0.70206890176859,0.711967026352308,0.712524541266498
"1178",0.637910675216568,0.843545096249148,1.03791165067776,1.01378864534389,0.83870267141823,0.707404669176984,0.695919645569593,0.694997631807755,0.705399214065293,0.705893596138479
"1180",0.651509552818153,0.814051205330439,1.02357389710733,1.01082541366822,0.827746977693815,0.700473938585231,0.690299887904866,0.689490682120622,0.700135188002572,0.70066068927036
"1182",0.664486435323183,0.78619913970851,1.01046406871303,1.00871045014468,0.818312898258501,0.695011473548727,0.686307548598155,0.685533291282538,0.69626716958375,0.696827481228389
"1184",0.676686700983913,0.760309582122471,0.998630257471568,1.00714494637744,0.810234083031397,0.690559976402618,0.68336295052822,0.682556943439945,0.693270283048845,0.6938703735264
"1186",0.688308561222882,0.735909727481834,0.987858082769994,1.00621899937728,0.803132627295817,0.687079092687738,0.681276701832007,0.680647144893105,0.691776711927658,0.692248858007064
"1188",0.698963211117638,0.713746338608093,0.978467313351794,1.00614412800153,0.797459069363905,0.684907766401289,0.680219033859243,0.679714842309572,0.691156221382816,0.691546394235665
"1190",0.707962245074481,0.695246348103113,0.970901238592109,1.00659516358611,0.793183351418527,0.683462518644942,0.679684899844507,0.67912888129647,0.690492175103479,0.690924882494187
"1192",0.715650639495736,0.679536955498533,0.96480348253946,1.00770534900962,0.789726060531179,0.682472905862756,0.679210610162022,0.678379586407436,0.689164215136544,0.689768054144364
"1194",0.722325646355046,0.66589416197719,0.959865032418314,1.00961631282597,0.787197863478686,0.682436307428589,0.679731999077587,0.678739145422737,0.689208582037667,0.689870273150933
"1196",0.727441375107194,0.655386109321148,0.95639741625918,1.01213643595128,0.785859623228261,0.683200257399553,0.681470997768357,0.680627064213097,0.691359509242891,0.691856213965693
"1198",0.730784602803813,0.648310228903752,0.954457536508607,1.0150350922468,0.785516906909619,0.684202742829173,0.682888182547877,0.681974055054108,0.692364619418791,0.692894474375412
"1200",0.732741653222356,0.64394887055452,0.953697673467068,1.01836528818175,0.785862377617624,0.685649459468251,0.68459463482632,0.683588138529652,0.693665372612788,0.694200724217285
"1202",0.733963854940439,0.641009860377656,0.953673722805993,1.02251776813011,0.786771399498228,0.687482344457839,0.686865959618048,0.685854074183017,0.695914919588004,0.696344796164913
"1204",0.733730413298659,0.640828467644412,0.954721014952691,1.0265280313707,0.788272467867181,0.6891919209987,0.688575289249905,0.687362966262535,0.697070480110164,0.697523399311092
"1206",0.732022218145083,0.643452301550884,0.95682039892532,1.03019914924258,0.790127039374225,0.691044729030349,0.690183340475782,0.688866354323922,0.698375604380065,0.698769498948886
"1208",0.729217392130878,0.648310112110844,0.959743555235918,1.033810881763,0.79220816154617,0.692849727475639,0.691469414955592,0.690060254164443,0.699334578837976,0.699712375616283
"1210",0.725436976669223,0.655095704639863,0.963394651485875,1.03719567252151,0.794494155991107,0.694383616595898,0.691595494563511,0.689841058032797,0.698502695795031,0.699028826434767
"1212",0.720039791006944,0.665177494349038,0.968117375699166,1.03942525866439,0.79695184806675,0.695202667002276,0.689552628786047,0.687105868948419,0.694582624139265,0.695469038117782
"1214",0.714025293783511,0.676597631106335,0.973360565469442,1.04133792734181,0.799423976773846,0.695984904698716,0.687067809690512,0.684081009845837,0.690672081787987,0.691824904054755
"1216",0.708180616555356,0.687644386495852,0.978731348623211,1.04394949254815,0.801797187774186,0.697266316507931,0.685588285127489,0.682460330596427,0.689170364165044,0.690179186087084
"1218",0.701604621643846,0.700288489171573,0.984700432782417,1.04602720492796,0.80425888044264,0.698224263379099,0.683009293854081,0.679581762179809,0.685999187850492,0.687056243995396
"1220",0.694571981844335,0.713996524277057,0.991067290000374,1.04760979451585,0.806867364151209,0.699108491246117,0.679965891181385,0.676114095798424,0.681766891586074,0.683138992835799
"1222",0.687912167673139,0.727021089794829,0.997358771805347,1.04976560385044,0.809376868978232,0.700429252419055,0.678258528066581,0.674185368653216,0.67967788187803,0.681056072581905
"1224",0.681488264764766,0.739600362805979,1.00363279274252,1.05230943609438,0.811866442270487,0.701706491800135,0.677151838889781,0.672916579600232,0.678281143306278,0.679625668058298
"1226",0.674933273306038,0.752516563472244,1.01011008167317,1.05484431199715,0.814591438008146,0.703047787268858,0.676624228537648,0.672244837958337,0.67719417266445,0.678676427061488
"1228",0.668550293758082,0.765154918175667,1.01663657607194,1.05799342001252,0.817579288058085,0.704943359293717,0.67729664119781,0.672839416692007,0.6772702575716,0.678908072620018
"1230",0.662013692871903,0.778203451758869,1.02339799327617,1.06114609043892,0.820738192983056,0.706912939418418,0.678609888287758,0.674134802199604,0.678215368776078,0.679944277157822
"1232",0.655898614631373,0.790356322539475,1.02986942134346,1.06444431370425,0.823942305272357,0.708840270854094,0.680301355774776,0.675832713476396,0.67974366607981,0.68141527491698
