"","y.8.comps"
"(Intercept)",11.1184127334968
"750",-54.315243615785
"752",-32.7418619363024
"754",-13.9717564678334
"756",1.99507278972114
"758",15.1586258362411
"760",25.5189026718296
"762",31.3181157867094
"764",35.3345288490037
"766",38.1904806014221
"768",38.7326416586949
"770",36.5455820378342
"772",32.698027108478
"774",28.7802775710575
"776",25.1753362981761
"778",21.4991780178974
"780",18.2622252396005
"782",17.9979302440909
"784",19.9761603826585
"786",22.9586369508584
"788",26.1544462753572
"790",28.8826419102715
"792",31.6312377262173
"794",35.1092066571659
"796",38.1355607008943
"798",40.4790131455361
"800",42.2575051184577
"802",45.259160136346
"804",48.0503094078796
"806",50.3891162426231
"808",51.4222640169349
"810",51.06300391314
"812",49.5483343677587
"814",46.9548104920716
"816",41.4536211790757
"818",33.1187136622836
"820",23.052152290019
"822",11.8578231513642
"824",-0.449412130840193
"826",-12.0562857212898
"828",-21.599857753753
"830",-27.894644570533
"832",-31.0289599155381
"834",-31.4755422118524
"836",-30.3985501880955
"838",-28.0152961786679
"840",-24.7310575431423
"842",-22.6725233043583
"844",-22.8854658764969
"846",-25.4789339862288
"848",-30.2815824316681
"850",-37.3467588963014
"852",-46.3529075744614
"854",-56.4374224781298
"856",-66.3391572608499
"858",-75.1864061293151
"860",-83.391193856785
"862",-91.1682223393925
"864",-98.4898887077441
"866",-105.366801142851
"868",-111.807090753628
"870",-118.024327099181
"872",-123.520411309641
"874",-127.919812434959
"876",-131.322399801361
"878",-133.319947547866
"880",-134.019753433356
"882",-132.493313069203
"884",-127.861278949339
"886",-119.977634278572
"888",-108.900613175815
"890",-94.2808082236786
"892",-75.7473753269693
"894",-53.8486587802833
"896",-29.6566925205861
"898",-4.79461765138202
"900",20.3141310828517
"902",45.3275273400154
"904",68.8371341656619
"906",89.8896087775752
"908",107.735400997705
"910",122.300451781656
"912",133.046479741462
"914",139.795191902309
"916",141.478543900342
"918",137.999809134378
"920",130.464746466638
"922",120.342695090315
"924",108.300213657449
"926",95.4866152382836
"928",82.7043964015247
"930",71.2818709331441
"932",60.9325763004175
"934",51.2742752838565
"936",40.7918350535855
"938",29.0614630216278
"940",14.7010530856359
"942",-2.21255061817644
"944",-22.1112566117405
"946",-44.7233052769054
"948",-67.9492908490962
"950",-88.6623880008021
"952",-104.609443727443
"954",-113.213044283343
"956",-113.417328389062
"958",-105.216359573933
"960",-89.6288290805998
"962",-68.6586742286053
"964",-44.87272754538
"966",-21.0856975867114
"968",1.49527884558354
"970",21.8019372876605
"972",39.9284489420925
"974",54.6880233374215
"976",65.8137825599402
"978",73.2304861395327
"980",77.2705349254815
"982",77.7000868643111
"984",74.8779503026656
"986",68.8021719951616
"988",60.5853060639473
"990",51.1441847893334
"992",41.6019422672541
"994",31.4109609144146
"996",21.106428417707
"998",11.0672499125319
"1000",1.67713109630779
"1002",-6.99030786193328
"1004",-15.2210534760117
"1006",-23.0434979641481
"1008",-29.9337734661388
"1010",-35.8898333093628
"1012",-40.2128739068133
"1014",-43.1135051803924
"1016",-45.0014531410635
"1018",-45.6712252834588
"1020",-45.2039437005074
"1022",-43.4480125585137
"1024",-40.7919175214193
"1026",-37.0271141232122
"1028",-32.1281810969038
"1030",-26.3719059733979
"1032",-19.429073297473
"1034",-11.9200306760911
"1036",-3.95349174073689
"1038",4.6987287047517
"1040",13.7248282829897
"1042",23.114962871498
"1044",32.6177354595955
"1046",42.6983318186782
"1048",53.0507769548643
"1050",63.211219746829
"1052",72.4176739482827
"1054",80.5346088653168
"1056",87.4568345650766
"1058",93.0588214036084
"1060",97.0589887646874
"1062",99.0778925819815
"1064",98.3088289890287
"1066",94.3688548827955
"1068",87.2112728592855
"1070",77.4452974972522
"1072",64.5317633319011
"1074",49.3359081107179
"1076",32.3609981729172
"1078",14.2930654830211
"1080",-3.99888021625936
"1082",-22.5976100096777
"1084",-41.4855486875431
"1086",-60.0898437839815
"1088",-76.9368778826235
"1090",-94.3862453430665
"1092",-111.519863420656
"1094",-128.337732115373
"1096",-144.839851427262
"1098",-161.026221356376
