"","y.4.comps"
"(Intercept)",12.062
"750",0.00578321310560321
"752",0.00633908311624282
"754",0.0067831220079609
"756",0.00709583352854585
"758",0.00725545550436477
"760",0.00723780417428073
"762",0.00688853927170303
"764",0.0064401322839803
"766",0.00576748040121326
"768",0.00479610816053478
"770",0.00339412771569191
"772",0.00160040822373252
"774",-0.000389888306520969
"776",-0.00238017682505209
"778",-0.00424105059531601
"780",-0.00592340445104735
"782",-0.00722161876466345
"784",-0.00808633688525154
"786",-0.00851342536187633
"788",-0.00851827548766733
"790",-0.00821435618334836
"792",-0.00772503729465613
"794",-0.00688010050965765
"796",-0.00574800276395907
"798",-0.00448237269098297
"800",-0.00331194036879851
"802",-0.00210383852785343
"804",-0.000875997356231912
"806",0.000343364922939556
"808",0.00149554248303711
"810",0.00252083839167921
"812",0.00331398486811046
"814",0.00401194320074429
"816",0.00441383539251579
"818",0.00431484893288307
"820",0.00389543465014746
"822",0.00323227308099492
"824",0.00222458543402031
"826",0.000801263431252783
"828",-0.000784761266588803
"830",-0.0021652420016492
"832",-0.00326917000246736
"834",-0.00383211007340605
"836",-0.00408962287812031
"838",-0.00403209649814416
"840",-0.00377508443019544
"842",-0.00391593264097971
"844",-0.00483137583893752
"846",-0.0067349678066704
"848",-0.00930583317413673
"850",-0.0122898710514558
"852",-0.0157488259197807
"854",-0.0193587095397965
"856",-0.0228710510745704
"858",-0.0259831093987481
"860",-0.0289785093116804
"862",-0.0317352136505227
"864",-0.0342456240893538
"866",-0.0365155984524437
"868",-0.0383476396727492
"870",-0.0395478113853059
"872",-0.0400295707969482
"874",-0.0397605582504898
"876",-0.0387395418027284
"878",-0.0369512332293601
"880",-0.0344150322620396
"882",-0.0309768588557232
"884",-0.0266096906815723
"886",-0.0213356653420791
"888",-0.0151825098986618
"890",-0.00828838799493938
"892",-0.000812203912552912
"894",0.00692868573009298
"896",0.0146630171140096
"898",0.0220734361589081
"900",0.0290113872011032
"902",0.0353602482491393
"904",0.0408092888073388
"906",0.0451012732270093
"908",0.048019661685074
"910",0.0493655361666776
"912",0.0489486714328771
"914",0.0466115495902148
"916",0.0422138036307367
"918",0.0357944964317386
"920",0.0277454665472681
"922",0.0188421494790144
"924",0.00978818865163275
"926",0.00122090853751795
"928",-0.00650873979355586
"930",-0.0132722628516569
"932",-0.0191819159002483
"934",-0.0244127989294729
"936",-0.0291593658175358
"938",-0.0335121566959792
"940",-0.0375529268121971
"942",-0.0411891483122954
"944",-0.0443350009425676
"946",-0.0467986923073937
"948",-0.0482598492630063
"950",-0.048397099368939
"952",-0.0469768324564371
"954",-0.0438713015050428
"956",-0.0391849703805947
"958",-0.0331656296104912
"960",-0.026178160716679
"962",-0.0186306558628051
"964",-0.0109027340187303
"966",-0.00332820101563137
"968",0.00389942199063014
"970",0.0106065862224029
"972",0.0167271996777327
"974",0.0221197437845767
"976",0.0267107060143446
"978",0.0304491959376056
"980",0.0333465431244048
"982",0.0353591948815918
"984",0.0365411123826594
"986",0.0368420129262493
"988",0.0363825184542533
"990",0.0351589596539365
"992",0.0332981129145002
"994",0.0306695908908712
"996",0.0273638791268603
"998",0.0232952189220434
"1000",0.0185771965838358
"1002",0.0131401479877902
"1004",0.00712453334513335
"1006",0.000704680879417566
"1008",-0.00553449670606242
"1010",-0.0111959717816208
"1012",-0.015600570248584
"1014",-0.0185732229767292
"1016",-0.0200863447196549
"1018",-0.0204007705389111
"1020",-0.0197504566265024
"1022",-0.0184370893712564
"1024",-0.0166383141964186
"1026",-0.0144926209789944
"1028",-0.0121337911957761
"1030",-0.00966040539751417
"1032",-0.00702639848712154
"1034",-0.00427782761484923
"1036",-0.0014944255722841
"1038",0.00131973512019303
"1040",0.00409523003789559
"1042",0.00679083353560816
"1044",0.00936753606738794
"1046",0.0118139049094002
"1048",0.0140759345406046
"1050",0.0161282973066393
"1052",0.0179508109672287
"1054",0.0195121710844306
"1056",0.0207556902841619
"1058",0.0217126297058887
"1060",0.0223508810916423
"1062",0.0226629189368784
"1064",0.0226287802277803
"1066",0.0222644548266189
"1068",0.0215658749357387
"1070",0.0205760369818499
"1072",0.0192362723874064
"1074",0.0175520666551296
"1076",0.0155330055812228
"1078",0.0131991722200453
"1080",0.0105656136340921
"1082",0.00762599132950516
"1084",0.00441283898450238
"1086",0.00102048280031737
"1088",-0.00244235405964832
"1090",-0.0062704915993129
"1092",-0.0103728387938245
"1094",-0.0147718103873275
"1096",-0.0194906593778633
"1098",-0.024552366699261
