"","Comp 1","Comp 2","Comp 3","Comp 4"
"750",-0.0577935584326261,0.0518185807095564,0.0360509281094472,0.074745411634543
"752",-0.0563261425865181,0.0540935537214949,0.0365162031528197,0.0797096356943541
"754",-0.0548770289588502,0.0563823293456547,0.0365450325718912,0.084316377773116
"756",-0.0534598708672595,0.0586738465596584,0.0360725932350045,0.0884845671402049
"758",-0.0520901358308699,0.0609545389230594,0.0350271329493437,0.092122134603798
"760",-0.0507851550519612,0.0632077292287878,0.03332961934555,0.0951247235971181
"762",-0.0497496885540131,0.0652164437014568,0.0305617070562503,0.0970501276255636
"764",-0.04877845784977,0.0672753043041917,0.0274274126164056,0.0984420351782863
"766",-0.0477614542259067,0.0693599998662766,0.023372734633523,0.0990733337175323
"768",-0.0466583988645418,0.071452901007428,0.0181058462238919,0.0980489526931104
"770",-0.0454448050203201,0.0734256087650105,0.0111452858965525,0.0946493202393053
"772",-0.0440545886725262,0.075257882893858,0.00260972858666171,0.0891439563543659
"774",-0.0423306127275661,0.0770745341365492,-0.00687171261531176,0.0824504386047793
"776",-0.0400856569245718,0.0790193329295253,-0.0166698646315859,0.0748718020425027
"778",-0.0372225065309528,0.0811505501581449,-0.0263313736380965,0.0662172323744232
"780",-0.0336671298524372,0.0834452785301979,-0.0357116225136795,0.0571582592139226
"782",-0.0293347679786923,0.0859715693532937,-0.0441166049033911,0.0499237975482363
"784",-0.0242105955267664,0.0886555440489015,-0.0513195122931299,0.0441897063120302
"786",-0.0183837299163849,0.0913467537101673,-0.0571615591175422,0.0386608171588714
"788",-0.012050041085678,0.0938384038468902,-0.0615056675568267,0.03283755398054
"790",-0.00552947767878834,0.0958826985137625,-0.0645226833593618,0.0260953951597192
"792",0.00087155739202669,0.0973253520883898,-0.0665073883138085,0.0192746083337816
"794",0.00700202551966427,0.0983662979986118,-0.0667732704979895,0.013004609707486
"796",0.012678648419282,0.0990639359807756,-0.0654916114105741,0.00655789451612477
"798",0.017813176302522,0.0994171070948725,-0.0632248379352559,-0.000353334317607681
"800",0.0223345141259358,0.0993562545689491,-0.0608479914356335,-0.00724347217562975
"802",0.0262836819447902,0.0990873338523247,-0.0579615297821398,-0.0126757024353283
"804",0.0296677828923139,0.0986771195384616,-0.0546265374416046,-0.0179696505653515
