"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7"
"1100",-0.119969940156663,0.0434119423414925,0.0688289791541196,0.0075904220548536,-0.0561194708283842,0.0269321975700514,0.0962360083738427
"1102",-0.119472819970827,0.0429227530782864,0.067722141519396,0.00725090444438358,-0.0553915797386563,0.0258989676268738,0.0927700885166398
"1104",-0.11891128629073,0.0423871901697683,0.0664840144552945,0.00685804361537914,-0.05461928842858,0.0249648260046704,0.089547895276146
"1106",-0.118285339116375,0.0418052536159329,0.0651145979618059,0.00641183956783708,-0.0538025968981598,0.0241297727034303,0.086569428652342
"1108",-0.117594978447759,0.0411769434167845,0.0636138920389387,0.00591229230175875,-0.0529415051473912,0.0233938077231594,0.0838346886452327
"1110",-0.116840204284883,0.040502259572323,0.0619818966866911,0.00535940181714637,-0.052036013176274,0.0227569310638597,0.0813436752548321
"1112",-0.115999320728815,0.0397521205468679,0.0601513166223462,0.00470498573609651,-0.0510345577423856,0.0223343325173976,0.0794283959242096
"1114",-0.115163969019896,0.0390083605077177,0.0583226508311138,0.00404210413288883,-0.0500775008652878,0.022021109568586,0.0778384516126928
"1116",-0.11428549646795,0.0382301434981539,0.0564013445286225,0.0033584667181753,-0.0491154251174909,0.0216731040404091,0.0761116458253085
"1118",-0.113295371569964,0.0373619556805999,0.0542449916173334,0.0026194411705965,-0.0480912904258994,0.0210528297522879,0.0735156954951218
"1120",-0.112148496957527,0.0363903667219067,0.05181780918516,0.00182139382290928,-0.0469051939537376,0.0201154537863235,0.0698250282492426
"1122",-0.11079382540061,0.0352773279364948,0.0490271565047581,0.000940897215510562,-0.0454541522049152,0.018972270553431,0.0651551645971937
"1124",-0.109164965020446,0.0339750128877756,0.0457332039575187,-9.91590093889331e-05,-0.043745144580756,0.0176251055842701,0.0595574128727031
"1126",-0.107161009712156,0.0324699807906069,0.0418470764326478,-0.00133938652098727,-0.0417608967631055,0.0161469065633647,0.0532814893902121
"1128",-0.104681775284116,0.0307696880359333,0.0373222714205677,-0.00276008456248315,-0.0394231911045693,0.0147250628837788,0.0468118867228112
"1130",-0.101651031585094,0.0288942279002178,0.0321579813319761,-0.00433337785894887,-0.0367216616102671,0.0133803876937602,0.0401392697454052
"1132",-0.0980309125515782,0.0268743078842019,0.0264027319725566,-0.00603096359909449,-0.0336854672319109,0.0120859479136616,0.0331544110504652
"1134",-0.0938288253367961,0.0247484669505443,0.0201466981036119,-0.00781546974923466,-0.0303685968409443,0.010886750970651,0.0259794475748099
"1136",-0.0890802597145331,0.0225904303354065,0.013568542357872,-0.00961433483306234,-0.0268324324445528,0.00993228377866333,0.0189739635928335
"1138",-0.0838604013292042,0.020498213923563,0.00691361136300801,-0.011336564200322,-0.023139549505932,0.00939897221229348,0.0125965592051481
"1140",-0.0782846774945236,0.0185800479535039,0.000476493439220981,-0.0128661150367146,-0.019352763468029,0.00944190780282513,0.00725137200924987
"1142",-0.0725072029831895,0.0169328578823221,-0.00545876921517701,-0.014105043965426,-0.0155373505548411,0.0101984759086684,0.00335773526859375
"1144",-0.0667010633890419,0.015630512429659,-0.0106558318212167,-0.0149937403576738,-0.0117528524387382,0.0116770181231227,0.00109275003949607
"1146",-0.0610240329696348,0.0147364087830504,-0.0149152544099969,-0.0154860497428003,-0.00802386906460719,0.0137967652901416,0.000431910364046955
"1148",-0.055618401126661,0.0142778537063312,-0.0181313855206818,-0.0155921997003189,-0.00442268474818164,0.0163174444645222,0.00110842764382235
"1150",-0.0505948192210482,0.0142503337688034,-0.0202763098169376,-0.0153522013519771,-0.00103565006993838,0.0189738539525769,0.00270658204164621
"1152",-0.0460271874029531,0.0146220930682273,-0.021395357020088,-0.0148154394146786,0.00211951363576887,0.0216031755637519,0.00491023151781755
"1154",-0.0419634801469281,0.0153127193030337,-0.021650162397002,-0.0140797668045468,0.00500288443171215,0.0240002954156766,0.00727246506210281
"1156",-0.0384018918727406,0.0162409997181662,-0.0212139968792653,-0.013232217969616,0.00757803920919221,0.0260171995889645,0.00946194750135412
"1158",-0.0353073300289394,0.017337308220191,-0.020254340896023,-0.0123335224792467,0.00982160257091648,0.0275448141185563,0.0111881530356901
"1160",-0.0326294918454888,0.0185348741738509,-0.0189432096612484,-0.0114411439443148,0.0117083624850263,0.028520175077024,0.0121876841187877
"1162",-0.0303119563014121,0.0197705118833105,-0.0174303333818992,-0.0105862490682787,0.0132825225547581,0.0290558959493932,0.0126192857964541
"1164",-0.0282920210872914,0.0209984213263538,-0.0158293654764955,-0.00978203368853837,0.0146030932363862,0.0292350111752287,0.0126101351801951
"1166",-0.0265026244326038,0.0222007656886948,-0.0142021345016929,-0.0090232896294779,0.0157221981206836,0.0291373715484794,0.0122426083884811
"1168",-0.0248819736121136,0.0233785970556356,-0.0125776194635577,-0.00829659711950555,0.016683816609491,0.0288449097317446,0.0116461397610211
"1170",-0.023378918481377,0.0245383393501431,-0.0109628001286565,-0.00758100903281581,0.0175479271355596,0.0285123627245374,0.0110528704535281
"1172",-0.0219559767154355,0.0256827924376298,-0.00936301106851224,-0.00685488713250041,0.0183891442066976,0.0283090597295036,0.0106680296869199
"1174",-0.020593107178585,0.0268015426756449,-0.00780896925423591,-0.00612607124402742,0.0192338752315624,0.0282441131092646,0.0104518031444527
"1176",-0.0192771214964485,0.0278848833221351,-0.00631652896987193,-0.0054026201698712,0.0201030794721792,0.0283295313587316,0.0103890794088501
"1178",-0.0180013506636878,0.0289224559580891,-0.00489688361287678,-0.00469505999239661,0.0209955387164444,0.0285311423757521,0.0104288195179994
"1180",-0.0167645689829106,0.0299078132652504,-0.00356812607191594,-0.00401890241744404,0.0218954463233196,0.0288067463377144,0.0105051642261376
"1182",-0.0155784885247085,0.030827083208259,-0.00234688673806889,-0.0033831046094807,0.0227994845046154,0.0291587371454436,0.010652530625222
"1184",-0.0144615948148637,0.0316635569276223,-0.00124470447465389,-0.00281598328504947,0.0236541360131876,0.029459189110406,0.0106503710920542
