"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8","Comp 9"
"750",-0.0868147645285656,-0.0293460716256079,0.0536716782205246,0.0956531585934112,-0.0088516081804517,0.0178786867594832,-0.00924145420273508,0.205907847037585,-0.188811430595896
"752",-0.0868147645285682,-0.0293460716256257,0.0536716782204928,0.0956531585932849,-0.00885160818050988,0.0178786867593726,-0.00924145420283341,0.205907847037429,-0.188811430596069
"754",-0.0868147645285619,-0.0293460716256073,0.0536716782205219,0.0956531585934276,-0.00885160818042326,0.0178786867595407,-0.00924145420271982,0.205907847037664,-0.188811430595838
"756",-0.0868147645285661,-0.0293460716256241,0.0536716782205015,0.0956531585933517,-0.00885160818047028,0.0178786867594646,-0.00924145420275049,0.205907847037563,-0.188811430595946
"758",-0.0868147645285626,-0.0293460716256146,0.0536716782205226,0.0956531585934615,-0.00885160818039481,0.0178786867596039,-0.00924145420266082,0.205907847037757,-0.188811430595773
"760",-0.0868147645285655,-0.0293460716256154,0.0536716782205149,0.095653158593377,-0.00885160818046251,0.017878686759484,-0.00924145420274897,0.205907847037556,-0.188811430595939
"762",-0.0766763474782671,-0.0247168764136194,0.0732668196745744,0.153199099841432,0.00114937168564816,-0.0210186866923214,0.0643387163780528,0.162726799950068,-0.248282256549535
"764",-0.0600135532455103,-0.0238368524821834,0.0758868745956663,0.126116141280827,-0.0103502874412536,-0.125553853684054,0.123325683575719,0.0816245288024739,-0.263043636604127
"766",-0.043009187715092,-0.0281294599463094,0.0560066943214474,0.0533368579105046,-0.0399133311982612,-0.234049905870466,0.159654240188596,0.0562317247488119,-0.159131540491265
"768",-0.0292038708386158,-0.024986922128904,0.0410087795539576,-0.0169135357208102,-0.0628523301284437,-0.307088870911452,0.178292926285183,0.0845689611978449,0.00645844299573431
"770",-0.0136960276771361,-0.0110317322378378,0.0572600800217687,-0.0444740027409009,-0.0756853064695506,-0.355065862806103,0.159187907410257,0.131762742360646,0.138172054747999
"772",0.0144125449876089,0.0149289846796941,0.119567640915022,-0.0393480840399317,-0.0851331632921517,-0.365782302496743,0.0824865709933795,0.221395645538605,0.2558880770977
"774",0.0459826892640053,0.0329911074136645,0.163524262337923,-0.0692563998060049,-0.0950128101947807,-0.235789002583135,-0.102043968731988,0.248779570303624,0.23597878879123
"776",0.047761982145946,0.0252352488227931,0.131019984633817,-0.097580721442682,-0.078132948333045,-0.0499327334693138,-0.199948344204752,0.174382449612717,0.0959235866404754
"778",0.044280695194791,0.019025232225532,0.106223167544112,-0.0975249375697951,-0.0519432832951105,0.0567909773866295,-0.212147250342878,0.119569952301554,-0.0022714442544201
"780",0.042789578430819,0.0198752303169737,0.100004511900854,-0.0771762872991154,-0.0276855218803712,0.126803919274294,-0.192830539140848,0.114198854211482,-0.0407846100840022
"782",0.0415332418943702,0.0201386706529396,0.0935949098313221,-0.0890531634512146,-0.0327749006623425,0.15199873435096,-0.180237300509065,0.100726243275162,-0.0801378344189668
"784",0.0386616857637258,0.0233192466123315,0.0895538444079165,-0.118717750278003,-0.0608831336894349,0.157090930105197,-0.16538523657386,0.0972437086610474,-0.0999121414929565
"786",0.0314931457888525,0.0409044609429224,0.100891440409566,-0.126597185453159,-0.096666172299898,0.151055327725986,-0.141094848276552,0.105631799128802,-0.105886749977351
"788",0.0109130642614946,0.0810315839144568,0.12837595872529,-0.0811440715060839,-0.136754764939297,0.0916164784171096,-0.105921486115166,0.0724286187781971,-0.145147899652199
"790",-0.0209388559008421,0.119364191601539,0.141008952684863,0.0517136797437549,-0.120883985696292,-0.00376978878276955,-0.0503710273134007,0.0270115714585413,-0.143566003367688
"792",-0.0399103900923725,0.12028332436397,0.115143753013062,0.128384492733235,-0.0981152350804185,-0.0607236200985942,-0.0206136150304251,0.0140004265125192,-0.0794771816734572
"794",-0.052839620008421,0.109293378216849,0.0815479477307171,0.120981010979788,-0.0963368915835619,-0.0934003518330497,-0.0244516051933944,0.00274620471847792,-0.0424185013626016
"796",-0.0631438847080002,0.102298844409459,0.0561218654156159,0.0819904790538763,-0.0941823150585193,-0.101520671521004,-0.035548973851096,-0.0227860086107412,-0.0397383633449579
"798",-0.0701861489591777,0.0987948609263259,0.0377631227768766,0.0518268570017145,-0.0792977682880188,-0.0874039619392545,-0.0454669320428716,-0.0518528388892608,-0.0510258551793309
"800",-0.0738838930395459,0.0949518572159969,0.0273473459965227,0.0421099080208735,-0.0692737387806868,-0.0488997661064903,-0.0406233314312051,-0.0363147715192174,-0.0308670023082989
"802",-0.0770862489374012,0.0847842179930638,0.00817047534409593,0.0122747848693098,-0.0791779559270715,-0.0293612973036171,-0.0337340697076765,-0.0224543311540174,-0.00511370702743202
