"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8","Comp 9","Comp 10"
"750",1.14845138535608,1.10162477383087,1.08223332004154,1.08553343092699,1.07344372564906,1.06555103415711,1.05708971513649,1.07511787068786,1.11033245348934,1.10716308683384
"752",1.14845138535611,1.10162477383091,1.08223332004156,1.08553343092698,1.07344372564905,1.06555103415709,1.05708971513648,1.07511787068782,1.11033245348938,1.10716308683388
"754",1.14845138535603,1.10162477383083,1.08223332004149,1.08553343092695,1.07344372564902,1.06555103415707,1.05708971513645,1.07511787068784,1.1103324534893,1.10716308683379
"756",1.14845138535609,1.10162477383089,1.08223332004154,1.08553343092698,1.07344372564905,1.06555103415709,1.05708971513648,1.07511787068784,1.11033245348935,1.10716308683385
"758",1.14845138535604,1.10162477383084,1.08223332004151,1.08553343092697,1.07344372564904,1.06555103415709,1.05708971513647,1.07511787068788,1.11033245348931,1.1071630868338
"760",1.14845138535608,1.10162477383088,1.08223332004154,1.08553343092698,1.07344372564905,1.0655510341571,1.05708971513648,1.07511787068785,1.11033245348935,1.10716308683385
"762",1.01433273434135,0.972480808864982,0.972287007517492,0.998976402674871,0.987721588389095,0.980694362047973,0.978752653404489,0.990140614945946,1.06248410659098,1.05987487806945
"764",0.793904685904767,0.763155932976097,0.779614300672442,0.802495697820498,0.793717112164036,0.814104399795253,0.833550583690836,0.83527256681212,0.932981373507164,0.940953221004312
"766",0.568958073925138,0.554081447676146,0.566962834178582,0.569545409130548,0.568647665547125,0.682642043222026,0.728033419518342,0.728131093359619,0.767623145453116,0.779162077025963
"768",0.386330897797143,0.381634323753581,0.393087918652589,0.390870864536428,0.406016363759878,0.64532161595046,0.706354276122199,0.709596410083244,0.70428234704769,0.707478619968262
"770",0.181181415915799,0.178288716910552,0.253255594113394,0.262356032301128,0.299589566604252,0.654301068424715,0.701664208479153,0.712643829741888,0.742130955462309,0.744264858235822
"772",0.190660048983719,0.191286228684078,0.428653975240516,0.430343156807614,0.457678417459018,0.752860647016881,0.759473560269457,0.790949710413052,0.888610041533833,0.891781958256812
"774",0.608293802032588,0.594834203171989,0.782324026891515,0.784738038480018,0.79838440707208,0.881716187834757,0.891163193498161,0.924873143395666,0.99498226277742,0.998511434782503
"776",0.631831634408401,0.610947838800471,0.728212108210342,0.741077634689772,0.748886109770072,0.747604938416936,0.813696993112038,0.830977165419289,0.839314301094456,0.838842817882332
"778",0.585778536832348,0.563827781492551,0.645592821194508,0.661475767878893,0.662061943292099,0.663526643093292,0.747971252753883,0.755849946819688,0.750115026489568,0.748291718473384
"780",0.566052916166203,0.545666784497096,0.620037866533733,0.628803380741488,0.624130310533257,0.653353275082424,0.724109288781381,0.731475525702124,0.728946194151237,0.727295683373427
"782",0.549433145973964,0.530142949719337,0.596473771741469,0.610699237387366,0.607295820488241,0.652218209285229,0.713930708204296,0.719317568366857,0.7256721156186,0.724543987784429
"784",0.511446028986724,0.496556192558023,0.561804838917855,0.592800661208174,0.598393449888853,0.647349866061658,0.699336983317004,0.704402456917653,0.717718940920484,0.717650403654745
"786",0.416615158802024,0.429327700755775,0.528818413725447,0.567154270336241,0.592539391393698,0.638110882694525,0.675650136989217,0.682369982051775,0.698775394742785,0.703999884449742
"788",0.144366270387908,0.350138783295658,0.536125473992659,0.549382135729592,0.606962770742186,0.620765510470257,0.640815913959273,0.6432260887679,0.680660620797299,0.689201628496058
"790",0.276995027259228,0.542848315437699,0.69627169894917,0.696071037276583,0.728674946383484,0.723069283716863,0.72219517283571,0.720529961737422,0.752273963651003,0.75640774214135
