"","Comp 1","Comp 2","Comp 3","Comp 4"
"1100",0.0358101532291652,-0.045602632657019,-0.00650151138423528,0.0160482451356636
"1102",0.0358101532291652,-0.0456026326570187,-0.00650151138424386,0.0160482451356576
"1104",0.0358101532291719,-0.0456026326570108,-0.00650151138425174,0.0160482451356458
"1106",0.0358101532291678,-0.0456026326570178,-0.0065015113842483,0.0160482451356496
"1108",0.0358101532291645,-0.0456026326570196,-0.00650151138425095,0.0160482451356504
"1110",0.0358101532291675,-0.0456026326570163,-0.00650151138425083,0.0160482451356473
"1112",0.0369834527732766,-0.0461938762524335,-0.0110889373454598,0.0042943745197993
"1114",0.0375295546989796,-0.0452100339838124,-0.00899504789496149,0.00576495537367035
"1116",0.0377165533780371,-0.0437803189772268,-0.0056644818282772,0.0115733379882681
"1118",0.0383439448360012,-0.0423181569849994,-0.002543777753019,0.017422946430437
"1120",0.0389606563311269,-0.0416978996417628,-0.000984851125057299,0.0212221845533495
"1122",0.0398515427363098,-0.0412016834061077,-0.000763415836756186,0.0224584811460004
"1124",0.0412139830784712,-0.0401275373645083,-0.00086268326607722,0.0224608634621934
"1126",0.0426907013749167,-0.0387735233561753,-0.00124274691217754,0.0213599178108792
"1128",0.0441771002005145,-0.0372331119952821,-0.00186583634217469,0.0192198861208948
"1130",0.0457760857825163,-0.0353631938232795,-0.00255707893831641,0.0164196909471813
"1132",0.0476887410920242,-0.0327991661271116,-0.00331117682290652,0.0129806235165497
"1134",0.0504455496108315,-0.0285062938290029,-0.00401879552973511,0.00863259229265093
"1136",0.0548582810343972,-0.0201938038582449,-0.00451409715483094,0.00245715283216604
"1138",0.0619282614575882,3.60322926955704e-05,-0.00445371828200332,-0.00942085387931029
"1140",0.0558514720331584,0.0542402871210757,-0.00181595141283039,-0.036021518667618
"1142",0.00476874298576156,0.0738533441958552,0.003513811349856,-0.0370915711695366
"1144",-0.0173982601482138,0.0640159408192607,0.00551058853247671,-0.0277507607419364
"1146",-0.0262101549968918,0.0572479667579123,0.00627967302530983,-0.0227366492937468
"1148",-0.0310408233192206,0.0526164511879843,0.00668488340820199,-0.0194010053001887
"1150",-0.0343883183980205,0.048903538518292,0.0069162203643796,-0.016660436542405
"1152",-0.0372119652508748,0.0453593031292419,0.00682534077357654,-0.0146745579436795
"1154",-0.0396757802942377,0.0419942543402199,0.0065183065713213,-0.0133445547173852
"1156",-0.0419813556643965,0.0386663912241581,0.00589056635613229,-0.0124317727425295
"1158",-0.0443965567635864,0.0351095665061269,0.00487360448364073,-0.0118786627030444
