"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8","Comp 9","Comp 10"
"750",0.348538948762416,0.875689353257048,0.924438120388326,1.00819009292485,1.06227419481645,1.08889670385447,1.09931644756706,1.09675815077712,1.10689594062855,1.23340792913901
"752",0.314180828902566,0.807309006438833,0.883953192902595,0.974971216961858,1.01794193614268,1.04034374488842,1.04509308202809,1.04214993713323,1.0528471452523,1.14135677547259
"754",0.279822709042724,0.73894124372959,0.847065457911112,0.945250154754974,0.977606161570338,0.995805182301769,0.995651114774979,0.992554910342527,1.00373496705877,1.05842746936604
"756",0.245464589182901,0.670589914053296,0.814263941641526,0.919366198504389,0.941780510692473,0.955842347030596,0.951736007851236,0.948759567557005,0.960317104852162,0.98692217354639
"758",0.211106469323036,0.602260612453642,0.786060352171977,0.897651340760027,0.910997231004187,0.921051030813115,0.914144632411426,0.911600182330103,0.923397143482357,0.929481196745588
"760",0.17674834946321,0.533961795575434,0.762964757891139,0.880414120123095,0.885782185907973,0.892036539640682,0.883684379929228,0.881915968913834,0.893780684651266,0.888835453448594
"762",0.143920250355088,0.470187422466136,0.747874627263642,0.870499201138144,0.869451185046626,0.872424362964453,0.864127402662117,0.862908227444199,0.873767759512951,0.86846088980503
"764",0.116105053485139,0.421596940369297,0.742478073584977,0.866950260646941,0.861800262360461,0.862274318530269,0.8545159676781,0.853528605411806,0.862603974943298,0.867543324495223
"766",0.0928141711181322,0.384915911017905,0.740509535938613,0.864266709035153,0.85669203240566,0.855800653524972,0.850113410933753,0.849186469198241,0.85721546592027,0.881536053246015
"768",0.0730767521954929,0.358542776508955,0.741949139683644,0.863608607025549,0.854363000327711,0.852399729418511,0.853069896905877,0.851708979968389,0.858063476028384,0.904878582672725
"770",0.057418464714305,0.342800694346165,0.74359942833074,0.861867944577628,0.85161710574228,0.848974257991557,0.860222260904907,0.85822288220322,0.862130450043158,0.926292978357326
"772",0.0456562815839153,0.336850765245098,0.74371550325449,0.856237392892693,0.845541378905012,0.842561441144315,0.863560820514443,0.861033089841494,0.861738955313215,0.929715548413311
"774",0.0375206773294075,0.338781697407835,0.742582193836469,0.846854911856594,0.836057798272476,0.832851099897867,0.85917135239939,0.856457432755991,0.85371279977061,0.909193540243151
"776",0.0337745341161086,0.349751651800999,0.741305042793228,0.83452072886868,0.823913027823503,0.820354097413838,0.846385862627309,0.844042245438415,0.839151336860016,0.871673098573363
"778",0.032770885750777,0.364315089821091,0.736041106617096,0.817317300931896,0.807130491807895,0.803449045883855,0.820089119661674,0.818437815772365,0.814490850619708,0.827735614974936
"780",0.0341759630712046,0.38162366756681,0.727136405179409,0.795640349511293,0.786332453709341,0.782846899037031,0.783980879472697,0.782839089120534,0.782085645845451,0.783679479618815
