"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5"
"1100",0.0157161240393346,-0.0100980752625104,0.00296110698856559,-0.0189043961220106,-0.00874463183121205
"1102",0.0157161240393318,-0.0100980752625217,0.00296110698855285,-0.0189043961220198,-0.00874463183122007
"1104",0.0157161240393419,-0.0100980752625029,0.00296110698857804,-0.0189043961220101,-0.00874463183119976
"1106",0.0157161240393396,-0.0100980752625043,0.00296110698857821,-0.0189043961220076,-0.00874463183119928
"1108",0.0157161240393383,-0.0100980752625043,0.00296110698856785,-0.0189043961220136,-0.00874463183121982
"1110",0.015716124039335,-0.0100980752625167,0.00296110698856382,-0.0189043961220189,-0.00874463183121155
"1112",0.014587716573132,-0.00857578755382575,0.00248948223218126,-0.0171589998740698,-0.00774434822201883
"1114",0.020241111744593,-0.0111594986480042,0.00565176981992442,-0.0230895896456603,-0.0167823679750643
"1116",0.0299364407269169,-0.0157002484117821,0.0114369318619075,-0.0327313784371042,-0.0310188117581694
"1118",0.0413785826570831,-0.0196585458511957,0.0193069626281728,-0.042560394568983,-0.0437027381472222
"1120",0.0551462761487476,-0.0241164291124694,0.0272356268707933,-0.054478137191124,-0.0524986664214078
"1122",0.0716064620942617,-0.0277088126199064,0.0344832863892091,-0.0682417116134498,-0.0566196905332259
"1124",0.0901355109518608,-0.0277029512814854,0.0433450314187964,-0.0806178624073142,-0.053769063157261
"1126",0.107652711982993,-0.0240625929518508,0.0529899463642956,-0.0893428057652143,-0.0455934120524473
"1128",0.121000917287029,-0.0169975616774757,0.0618702692729791,-0.0928536732818549,-0.0347472760061496
"1130",0.127800896654126,-0.00673186722913328,0.0687883466642306,-0.0897818003428654,-0.0202467016953936
"1132",0.1266717465664,0.00658700377430023,0.0730314406213278,-0.0791254278139238,-0.00016424090036897
"1134",0.117435235217398,0.0234702282325371,0.075146175090068,-0.0600003846546159,0.0256739087322852
"1136",0.0998512741242847,0.0426223579511116,0.0745762475775124,-0.0330600489404594,0.054239628837903
"1138",0.0745591145720856,0.0619366282117801,0.0703575922028938,-0.000630218981830706,0.0814013552555122
"1140",0.0431889274456396,0.0782085408528111,0.061243044060317,0.0335687276500386,0.10145075917973
"1142",0.00879019743264178,0.0892724251323204,0.0480440651425876,0.0660112069142515,0.110965183331141
"1144",-0.0248529874634682,0.0946042220470158,0.0323182372685314,0.0935676724251435,0.109518388361682
"1146",-0.0551033109984545,0.0931206743015981,0.0139724231734835,0.112895260973359,0.0974657635231012
"1148",-0.0796641339942088,0.0853249896258601,-0.00481529171713252,0.123035977766505,0.078524950379078
"1150",-0.0971570477211884,0.0720799607659252,-0.0220362047795199,0.124275840725884,0.0567504882565558
"1152",-0.107192683366935,0.0544842026902643,-0.0374184397060719,0.116860213427351,0.034656686809698
"1154",-0.109354820705103,0.0363808881993679,-0.0488613551069709,0.103312277584969,0.0159641399173982
"1156",-0.105023113259529,0.0197176644997771,-0.0558898721101761,0.0864935809322729,0.00253822534523318
"1158",-0.0962250401730996,0.00521357009161995,-0.0590496405245634,0.0684546914688815,-0.0063473262726045
"1160",-0.0846219510936283,-0.00603248415427663,-0.0585329347486062,0.0510281800075417,-0.0115265291922448
"1162",-0.0713834674984154,-0.013142445203051,-0.0545202426250513,0.0360017135394188,-0.0132081159597747
"1164",-0.0576777743382261,-0.0160820788455331,-0.0480430223010324,0.0242326615992208,-0.0121851254728555
"1166",-0.0447454084379682,-0.0160436948445325,-0.040133678811271,0.0158652103969625,-0.00906848969836403
"1168",-0.0335720981697828,-0.0144775566006029,-0.0312097855854574,0.0105874976639631,-0.0046776380166234
"1170",-0.0248581313144543,-0.013188372877587,-0.0232515907365206,0.00693615971209474,-0.00117868440158146
"1172",-0.0188372806146537,-0.0132833400088954,-0.0177943311275602,0.00372643395817218,0.000135560767614227
"1174",-0.0150816915674833,-0.014070418087828,-0.013882134313327,0.00124037969836089,0.000341490809423149
"1176",-0.0132626483431847,-0.0153875245583225,-0.0118837513582181,-0.000894452125636929,-0.000467184563642312
"1178",-0.0130817107868594,-0.0171239654585722,-0.0120353746542106,-0.00276323950690101,-0.00221660651505091
"1180",-0.0144812478798634,-0.0189833820221703,-0.0137965504740267,-0.00424965807221709,-0.00483819437243616
"1182",-0.0169068286239634,-0.0204306011941745,-0.016272115711191,-0.0050076345283198,-0.00791003482570774
"1184",-0.0195056494897126,-0.0208301966168875,-0.0184636889271683,-0.00449323149346961,-0.00930858420894521
"1186",-0.0221453542162615,-0.0208081632933198,-0.0203634225956485,-0.00294619374621847,-0.00908070278291582
"1188",-0.0251909021701388,-0.0217054221181895,-0.0228350858150559,-0.00146709435653621,-0.00935280825664523
