"","y.6.comps"
"(Intercept)",4.33827305252038
"1100",-1.72282997256882
"1102",-1.72282997260129
"1104",-1.72282997251728
"1106",-1.72282997256685
"1108",-1.72282997261533
"1110",-1.72282997257358
"1112",-2.08306389365595
"1114",0.44192648832891
"1116",15.4177466887727
"1118",67.4356471549962
"1120",137.952491438337
"1122",235.89927842311
"1124",401.440357106034
"1126",604.951377660434
"1128",813.557847220771
"1130",1012.77380780378
"1132",1194.64045171904
"1134",1368.04076311851
"1136",1513.21423239635
"1138",1597.75427757445
"1140",1579.21777348882
"1142",1452.94700365448
"1144",1238.02488332703
"1146",931.552842030163
"1148",572.133389547025
"1150",198.608805267939
"1152",-171.714637303444
"1154",-478.525493463442
"1156",-701.027841897381
"1158",-846.941793476894
"1160",-916.548930580794
"1162",-905.383221770399
"1164",-826.364209422019
"1166",-703.34711700769
"1168",-559.326698676126
"1170",-435.561531650081
"1172",-358.46480133279
"1174",-311.759062644033
"1176",-296.871980777027
"1178",-313.663049325554
"1180",-356.04279504822
"1182",-406.634238971939
"1184",-442.967593869569
"1186",-469.323098624884
"1188",-511.241069604906
"1190",-557.389694531565
"1192",-578.365870217354
"1194",-588.037838299283
"1196",-595.35972047976
"1198",-605.156482323836
"1200",-617.897399806356
"1202",-644.989899980648
"1204",-673.092064882894
"1206",-670.311596982827
"1208",-653.1643398946
"1210",-623.843061069348
"1212",-549.232978289253
"1214",-443.364649599734
"1216",-324.463171895541
"1218",-202.511223412374
"1220",-101.55142483709
"1222",-24.8433773021769
"1224",68.340228988423
"1226",165.415171571
"1228",225.149977041371
"1230",259.526994248565
"1232",286.455525097269
"1234",292.375689133651
"1236",263.625592883168
"1238",220.106382480179
"1240",170.199748759858
"1242",119.334594412237
"1244",91.6017214622728
"1246",68.2758327626337
"1248",56.510178802072
"1250",59.5213115762011
"1252",42.3139040416154
"1254",15.158754986268
"1256",-5.4801877172423
"1258",-25.5588820572058
"1260",-49.4284102330098
"1262",-66.096033449418
"1264",-68.0600240309304
"1266",-68.0558105232713
"1268",-63.4193206012777
"1270",-49.2531636690106
"1272",-42.9447970960158
"1274",-27.7313335735256
"1276",-1.66007319427215
"1278",23.2511657707288
"1280",64.2748191763198
"1282",115.047450957833
"1284",152.685086026307
"1286",188.403866467086
"1288",223.193187910838
"1290",249.030136763566
"1292",261.900825146137
"1294",253.305845934842
"1296",236.069804707441
"1298",243.519335744214
"1300",267.741052261731
"1302",279.428937626404
"1304",287.840568172568
"1306",311.779855047301
"1308",333.052525022825
"1310",336.914551918307
"1312",333.982778202873
"1314",319.408046724238
"1316",315.143297994495
"1318",333.955732624724
"1320",338.701228279214
"1322",318.411741653363
"1324",304.835240019905
"1326",299.8650092565
"1328",271.544583631842
"1330",212.787679414973
"1332",152.947616130673
"1334",80.3165135378636
"1336",9.53377646198328
"1338",-43.1555520264674
"1340",-107.902392287343
"1342",-180.728346082153
"1344",-238.114843536415
"1346",-289.450942391986
"1348",-350.010692613905
"1350",-413.703052598897
"1352",-450.674021025344
"1354",-485.163126544841
"1356",-508.690069341455
"1358",-529.064441951575
"1360",-565.120919507559
"1362",-604.480885628873
"1364",-654.324090544956
"1366",-686.876099744703
"1368",-651.255077550509
"1370",-538.738018515337
"1372",-362.605299377677
"1374",-124.328475358525
"1376",179.400610616223
"1378",506.088309687065
"1380",830.06312747343
"1382",1109.59706975409
"1384",1367.92134977246
"1386",1620.71643665973
"1388",1814.04558639965
"1390",1912.29217298914
"1392",1894.23501066449
"1394",1788.89869903284
"1396",1602.86588165634
"1398",1321.09960480883
"1400",975.908425769664
"1402",617.198528238866
"1404",286.86809033701
"1406",-25.546371851306
"1408",-317.920808051119
"1410",-556.206427151859
"1412",-747.079271045463
"1414",-880.550940094706
"1416",-964.16859304829
"1418",-1007.21405745158
"1420",-1028.0109618461
"1422",-1047.26790940124
"1424",-1039.31402473661
"1426",-1002.30456689198
"1428",-949.489922445158
"1430",-861.378751446198
"1432",-727.137245951449
"1434",-603.396140237006
"1436",-494.768993369684
"1438",-419.561873431182
"1440",-375.490148737401
"1442",-336.390369286252
"1444",-289.115154434728
"1446",-209.793584342771
"1448",-87.8435207451444
"1450",38.4417040336897
"1452",141.541880360629
