"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5"
"750",-0.0286563140327988,-0.0376863909115847,-0.0837193142580112,0.0533442165907521,-0.054767503120516
"752",-0.0286563140327973,-0.0376863909115759,-0.0837193142580281,0.0533442165907102,-0.05476750312066
"754",-0.0286563140327906,-0.0376863909115597,-0.0837193142580647,0.053344216590807,-0.0547675031207008
"756",-0.0286563140327964,-0.0376863909115761,-0.0837193142580502,0.0533442165907524,-0.0547675031207111
"758",-0.0286563140327943,-0.037686390911571,-0.0837193142580557,0.0533442165907443,-0.0547675031207373
"760",-0.0286563140327912,-0.0376863909115632,-0.0837193142580582,0.0533442165906985,-0.0547675031207209
"762",-0.0244699357236319,-0.0294138705888148,-0.0722934767415797,0.0760408031824921,0.00718922847881207
"764",-0.0207562575313348,-0.0227216250193372,-0.0603606192643663,0.0773461373957033,0.0536478100667292
"766",-0.0179327914959628,-0.0170565598115212,-0.0526058113976771,0.0526307499927923,0.0665857808175109
"768",-0.0153810730607424,-0.0119430365657008,-0.0430900463017998,0.0301306068627028,0.0667432745298825
"770",-0.0122465650680707,-0.00608884602301183,-0.0316131491235333,0.0390100074356134,0.053272265565581
"772",-0.00820706596540736,0.000605932130780242,-0.019978698597079,0.0782880316155524,0.0198940881701891
"774",-0.00426128445437422,0.00610927776335057,-0.0118433208095275,0.118871922601046,-0.0452594785120755
"776",-0.0013008258073565,0.00900697123679888,-0.00784658659404569,0.148900579637964,-0.117947633465733
"778",0.00104377310713529,0.0103228182763327,-0.00363640890871842,0.175109697359594,-0.164068446505917
"780",0.00290113852943341,0.0111874788454294,0.00180126250282617,0.20459879186503,-0.173845081730096
"782",0.00406681897429767,0.0111827780701492,0.00509606586799773,0.208206313605882,-0.178224052807094
"784",0.00433145524110317,0.00994152964368973,0.00657910965989195,0.189333162122396,-0.174158735009584
"786",0.00394476725167684,0.00794145713137989,0.00944947575700008,0.160619933387737,-0.146849154435246
"788",0.00316821247405263,0.00496112328824601,0.0144581476281363,0.134005135219831,-0.103559385977935
"790",0.00269738277922807,0.00172263660006257,0.0224927479630806,0.121988798713647,-0.0575972597267778
"792",0.00293701564018431,-0.000723285732932861,0.0288960310150461,0.109945453914693,-0.0354442292513615
"794",0.0030561361985222,-0.00439600423713402,0.0328678335369523,0.0841583717756899,-0.0378315280566348
"796",0.00335185237751923,-0.00891487729732287,0.0387342366126519,0.0560448816166632,-0.0372668749626425
"798",0.00371229083577751,-0.0133886947175366,0.0473268200493713,0.0339914880712197,-0.0320376241757641
"800",0.00437902711732251,-0.0164121026301216,0.0536150182374708,0.0291713426529293,-0.0352039978391238
"802",0.00467592154839319,-0.019545988752915,0.05516421023263,0.00451919838411901,-0.0609200193607964
"804",0.00463413686025657,-0.0233780519946257,0.0584999771817242,-0.0222793585405815,-0.0798633889474223
"806",0.00438092852795444,-0.0278509981405433,0.0625277501895658,-0.048638750708485,-0.0918910833222224
"808",0.00355188730283455,-0.0341938591828704,0.0655597690452753,-0.0701076817156739,-0.0962472159143545
"810",0.00279151666008121,-0.0417361167771712,0.0703216994059445,-0.0931114802242514,-0.0992761276360166
"812",0.00292409202621351,-0.049324384164474,0.0780332158860352,-0.116937268657118,-0.113665285120938
"814",0.00350558033705087,-0.0588599294682266,0.0920123931624219,-0.143136965765379,-0.135466095460326
"816",0.00505379108956175,-0.0677927076505159,0.110680113948011,-0.149296756234794,-0.141862252851277
"818",0.00741641439508753,-0.0722736793956075,0.127205781266756,-0.124301147844491,-0.138380790973638
"820",0.0117179561839563,-0.068665148311713,0.143501058399621,-0.0872891426482947,-0.11693250112847
"822",0.0164544203910168,-0.0572148785118697,0.154071954933327,-0.0468712353736625,-0.0799796746068979
"824",0.0209225420408486,-0.0369419049159719,0.153010440358985,0.00853304502652522,-0.0254469445084789
"826",0.0237886947243454,-0.00873459545055983,0.132168705989283,0.0648353462495919,0.030008339486089
"828",0.0237654139277063,0.0216841110615909,0.0956378323053052,0.111505780770774,0.083078423771154
"830",0.02073444896704,0.0487062535795677,0.0523269901729086,0.138226844192147,0.129375114236813
"832",0.0151014032133759,0.0679664860083106,0.00834502885532273,0.150450599996291,0.164330776859236
"834",0.00732095732878356,0.0749210184209199,-0.0294248939094809,0.149241293236265,0.185312118776265
"836",-0.00134081864187784,0.0696528578062523,-0.0612952728806997,0.143265570599336,0.191325429837565
"838",-0.00884477279228863,0.05578621702227,-0.0817551023228913,0.120716914133413,0.183094326341266
"840",-0.0132417146065128,0.0383992420665484,-0.0863624651309844,0.0777392780381811,0.15329813000938
"842",-0.0155579527891891,0.0203833986271996,-0.0823599770434355,0.0378016797370446,0.109175022521011
"844",-0.0156258549641784,0.00610791172006206,-0.073592808115088,0.00559616277871545,0.0619251104865933
"846",-0.0136167853019433,-0.00175716023502859,-0.0612639069553028,-0.0125998148571103,0.0198958240964099
"848",-0.0105470884407839,-0.00492216637856365,-0.0455631703018476,-0.0165201614801631,-0.00882992849385607
"850",-0.00695730400979443,-0.00454845402079617,-0.0274927946053371,-0.0079794811083552,-0.00922357008394913
"852",-0.00355958220895785,-0.0023161192979653,-0.0122925624647105,0.00946057648576445,0.0114015879635898
"854",-0.000291536558392479,0.00021693443658232,0.00151092920172066,0.0319254085132724,0.0321224726468581
"856",0.00242523328719764,0.00212610628101587,0.0100333606531662,0.0475295257527479,0.0399019064779264
"858",0.00569796945877708,0.00418006209110653,0.0192187948279481,0.0454573328255571,0.0377853293072749
"860",0.00930673508785369,0.00665360314261107,0.0299573479025415,0.0361879081903112,0.0220927266070476
"862",0.0130261058570434,0.00886976067498579,0.0417188042730709,0.0258118375168338,0.00857703961983354
"864",0.016603633751494,0.0110014174663645,0.052630547854871,0.0208474718227289,-0.00186686606191967
"866",0.0201604431670778,0.0139789562415187,0.0627667017830517,0.0218458787508042,-0.0135329867112232
"868",0.0234455836880349,0.017513509755766,0.0721304299811504,0.0249092013280457,-0.0190464430176662
"870",0.0262418199380753,0.0210799178268723,0.0802178841004309,0.0326121268235716,-0.0131104955227415
"872",0.0283590441735622,0.0245523781414256,0.0855842015890071,0.0401866234344847,-0.0102955006755109
"874",0.0294986873454038,0.0278027313785427,0.0877213094088139,0.0453550502026601,-0.0175924440592536
"876",0.0298015077276322,0.0309010542149944,0.0868277478101735,0.0574624849413655,-0.0192229268639713
"878",0.030442547473546,0.0349788161898884,0.0863420634459742,0.0741350642542883,-0.0174198778916005
"880",0.0309373904475718,0.0395422790934642,0.0862372878643277,0.100390336075736,-0.0068169371316583
"882",0.0305677548220657,0.0425785005345695,0.0837402711242214,0.126317283086359,0.00811363561621154
"884",0.0294704989704922,0.0441966578504209,0.0791033228074723,0.142943203778234,0.0197483246211152
"886",0.0276328078760609,0.0437998819129443,0.072728236281816,0.153744378882644,0.0342487015305413
"888",0.0252733045458347,0.0408771163235976,0.06595951798926,0.160864561590297,0.052250668849719
"890",0.0217400836189357,0.034150030286503,0.055769054525889,0.16251315704371,0.0605143802653364
"892",0.016924365402683,0.0237334487932022,0.0414106664429314,0.153071844889987,0.0512539509225233
"894",0.0110914057986042,0.0104187602453984,0.0229600809271568,0.134945810290728,0.0274185751809338
"896",0.00480439805622964,-0.00535690073726541,0.00449970242227168,0.116689130369511,-0.00610978848900747
"898",-0.00188565649834142,-0.0234597128749042,-0.0127676493405825,0.0986737126161325,-0.0351476445074736
"900",-0.00884269107193076,-0.0439971343878438,-0.0275577289110037,0.0766499512230255,-0.0555334918869368
"902",-0.0155312994465139,-0.0667691557197783,-0.0381992756803234,0.044884651298022,-0.0702493282900148
"904",-0.0204507733642625,-0.0896899288774424,-0.0431094022723378,0.0140808203001398,-0.0718621372289833
