"","Comp 1","Comp 2","Comp 3","Comp 4"
"750",-0.0581280150562671,0.0512348386968097,0.0343740381442058,0.081753629740567
"752",-0.0562778674391233,0.0541774650762788,0.0370859681665619,0.0874880059447541
"754",-0.054509959161539,0.056656748584529,0.0369297708830998,0.0931533723983968
"756",-0.0531444681768343,0.0589480215067965,0.0362644918855339,0.0954750373879247
"758",-0.0519825350426709,0.0608324813954477,0.0339854427069783,0.0971411518622171
"760",-0.0509668977219619,0.0627896637450066,0.0320328696751578,0.0993940736348954
"762",-0.0498969282831531,0.0649570596077802,0.029918831479569,0.101854995675314
"764",-0.0486245095390687,0.067410539074963,0.0275282220561032,0.102763124111724
"766",-0.0476698555027177,0.0692915707179226,0.0230986672379733,0.102467638763442
"768",-0.0467046368354729,0.0712150619150522,0.0175884719397779,0.101121213496601
"770",-0.045536462420427,0.0734422083585744,0.0117962726512937,0.0995530893143433
"772",-0.04409140761586,0.0754163021682279,0.00360711415852379,0.0941039657939573
"774",-0.04220655682531,0.0771592255798531,-0.00708803732081164,0.0849056222641748
"776",-0.0400304549789067,0.0788120171848043,-0.0181886834476173,0.0755624448292468
"778",-0.0374320393933294,0.0805720827287393,-0.028545975080484,0.0661748303778265
"780",-0.0338813734383373,0.0829624447144638,-0.036977691498611,0.0598341810064132
"782",-0.0294273895410959,0.0859621439626039,-0.0432223546408453,0.0541652562973905
"784",-0.024364770087178,0.0887682387380179,-0.0500819996204568,0.0453748801770131
"786",-0.0184367398356056,0.0915559733581359,-0.056256656142145,0.0353115385227902
"788",-0.0121255331461927,0.0935388700918598,-0.0627728805322095,0.030773203268421
"790",-0.00546569913534126,0.0955905470709115,-0.0657916150432785,0.0292702590815111
"792",0.00104307307800016,0.0972679036296878,-0.0669243196489792,0.0194657557625084
"794",0.00706939719363818,0.0986312115062363,-0.0656306890565308,0.00895939663085463
"796",0.0127639881235618,0.0993520217205291,-0.0642747009376052,0.000902386533118415
"798",0.0177218382686245,0.0993403977352987,-0.0636231817669623,-0.0063032063103671
"800",0.0221213508248259,0.0990784645865014,-0.0622252373174406,-0.0108039028305006
"802",0.0263764260147926,0.0993064413899117,-0.0569194431030082,-0.0162145563870829
"804",0.0297703558891442,0.0989110543770077,-0.053452752526765,-0.0232358242156448
"806",0.0324789851540761,0.0981012397587049,-0.05144485266006,-0.0288377892038808
"808",0.0346389323002815,0.0973990475163024,-0.0483816732890433,-0.0356165727039137
"810",0.0363434349361058,0.0971574927169702,-0.0427871210703777,-0.040126786142433
"812",0.0374064402856377,0.0963679476211351,-0.039478116400839,-0.0473152770106578
"814",0.0378544812033875,0.0953728870540104,-0.0374841329966107,-0.0529579232283676
"816",0.037469250156002,0.0943780119177437,-0.0351237087797944,-0.0607455360243262
"818",0.0358760984895987,0.0933564581470809,-0.0324124732699999,-0.0679310805709919
"820",0.0328592218284002,0.0918240621918621,-0.0314998782314374,-0.0763638854673198
"822",0.0280516542716728,0.0901209538768479,-0.0306153155221579,-0.0873056513114542
"824",0.0207403351309569,0.0875155876678585,-0.0322664853405236,-0.100909457427634
"826",0.0102526580924558,0.0846924409004211,-0.0309959921794356,-0.112799454988811
"828",-0.00402598637292847,0.0816163981832563,-0.0227077541422098,-0.125626829849026
"830",-0.0202040480139386,0.0755883098285458,-0.0196231066772513,-0.137953343018915
"832",-0.0376245306616214,0.0678941940547196,-0.0145773631181721,-0.14255286639066
"834",-0.0529770516157659,0.0596970646535504,-0.00612444378839387,-0.140134927201569
"836",-0.0646120382941318,0.0524594837883574,0.0073459934797744,-0.137026470350845
"838",-0.0727619824401544,0.045484548201399,0.0167482683772718,-0.134122124673763
"840",-0.0780410318985521,0.0383977250797714,0.0194520101003397,-0.128243859266761
"842",-0.0813845328205639,0.0321517567854065,0.0237752042626879,-0.118029709274029
"844",-0.0843394250836926,0.0253554620707651,0.0242509433488401,-0.10702279295788
