"sample","y","yhat.cal","yhat.val"
"ak01",12.4,12.4146046815145,12.2706845114201
"ak02",13.1,13.6569824205874,13.500190488671
"ak03",12.7,12.3210297178042,12.1877269662109
"ak04",10.2,10.6198909022034,10.8225671490883
"ak05",11.4,12.766025053007,13.0215987724294
"ak06",10.7,11.420389987681,11.5726506629625
"ak07",11.5,11.9347959756852,11.698405629059
"ak08",11.6,11.6943184455485,11.4300091406575
"ak09",11.6,11.1097093522537,10.9668195779023
"ak10",11.2,11.5498753441734,11.3653237262969
"ak11",13.9,13.864917159208,13.9150658349128
"ak12",10.6,10.8437139052654,11.1850245823609
"ak13",12.4,12.5969434859814,12.0095491140588
"ak14",11.1,11.6032925028593,11.6654982497644
"ak15",11.4,11.0187475407205,10.7542603374435
"ak16",12,11.7759415587962,11.8006554223495
"ak17",14.2,13.6535449220928,13.5738737416729
"ak18",12.1,11.365859876162,11.1610719843325
"ak19",12.2,11.9388773475593,11.6942892080186
"ak20",11.5,11.2424283763325,10.7720298789746
"ak21",10.4,10.1907579418967,10.2137718051012
"ak22",11.2,11.4038790693052,11.3570995747311
"ak23",12.6,12.6948671927937,12.8701283996616
"ak24",11.7,11.5158935687039,11.5802976022194
"ak25",12.9,13.1177201556533,13.2635049035827
"ak26",12.3,12.212145966045,12.4669624610934
"ak27",11.3,11.4309827890234,11.5731199065165
"ak28",13.8,13.548816386783,13.5815783906905
"ak29",13.3,12.746499599196,12.6797687047908
"ak30",12.1,11.706069991442,11.7450649230356
"ak31",12,11.9014606567903,12.1877689010659
"ak32",13.9,13.370439021757,13.3643105184034
"ak33",10.7,10.962156800841,11.2211635684745
"ak34",12.2,11.90109517359,11.9253126691461
"ak35",11.8,11.6004251594591,11.7168023439995
"ak36",10.9,11.3966250176157,11.7510613213466
"ak37",11.6,12.8615018412169,13.4308471856092
"ak38",11.6,11.8733099674376,11.9784758628827
"ak39",11.4,10.8075449038017,11.0085571296015
"ak40",13,13.2264991382684,13.4862581155728
"ak41",11.8,11.6625849118602,11.7380459317669
"ak42",11.1,11.3568274918721,11.2724429082835
"ak43",11.7,11.1863520196696,11.2725362008797
"ak44",10.7,11.2875002234303,11.6345679681294
"ak45",12.8,12.494667333874,12.2741481806011
"ak46",12.8,13.0443474073964,13.1732897266675
"ak47",13.1,12.495721281905,12.0335297748756
"ak48",13,12.7440887595031,12.6294464443163
"ak49",12.9,12.6671790795833,12.7262379574589
"ak50",14.7,14.3001525938503,14.1088273215042
