"","y.7.comps"
"(Intercept)",12.062
"1100",-0.0417638074112884
"1102",-0.0417165586477371
"1104",-0.0419145809593918
"1106",-0.0423557164929269
"1108",-0.0430375757846565
"1110",-0.0439575261655762
"1112",-0.0451423205381634
"1114",-0.0465352083167205
"1116",-0.048135926136187
"1118",-0.0500349222978154
"1120",-0.0519870950958527
"1122",-0.0538868359102503
"1124",-0.0559777758133037
"1126",-0.0583174082161885
"1128",-0.0607789607285248
"1130",-0.0632593577458677
"1132",-0.0656235126058085
"1134",-0.067768597994573
"1136",-0.0695173287905029
"1138",-0.0706094996868635
"1140",-0.0707171533895797
"1142",-0.0696341824540171
"1144",-0.0672499411586851
"1146",-0.0634280666742724
"1148",-0.058271510696228
"1150",-0.0519599411762108
"1152",-0.0446386963595877
"1154",-0.0366947906920405
"1156",-0.028479596240715
"1158",-0.0202505453100306
"1160",-0.0122649989775661
"1162",-0.00468615778610116
"1164",0.00240323049229356
"1166",0.00901756203284142
"1168",0.0152411565536542
"1170",0.0212094875777157
"1172",0.027046168775545
"1174",0.0327346679201709
"1176",0.038261169102036
"1178",0.0435972112679197
"1180",0.048709058844219
"1182",0.0535574778405162
"1184",0.0580023270983208
"1186",0.0620112649733787
"1188",0.0657239252326925
"1190",0.0690980289584011
"1192",0.0720648790679936
"1194",0.0747051906294409
"1196",0.0770242596831037
"1198",0.0790311336484678
"1200",0.0807533222161419
"1202",0.0821894295468927
"1204",0.0831613471097024
"1206",0.0834972975350495
"1208",0.0832826129371372
"1210",0.0824732203875185
"1212",0.0809348628541091
"1214",0.0787779168916791
"1216",0.0761298023753931
"1218",0.0730951977068588
"1220",0.0698818265755498
"1222",0.0666523416857261
"1224",0.0633617196386198
"1226",0.0601103656618953
"1228",0.057128509938867
"1230",0.0544855609314121
"1232",0.0521615810411977
"1234",0.0501978019102725
"1236",0.0486387650101329
"1238",0.0473921823214971
"1240",0.0464089711957907
"1242",0.0456642468575682
"1244",0.0449817905246521
"1246",0.0443342480420232
"1248",0.0436941626034184
"1250",0.0430806538268152
"1252",0.0425761350412238
"1254",0.0420624445037245
"1256",0.0414436340998895
"1258",0.0406834503762177
"1260",0.0397667887782843
"1262",0.0386659251455476
"1264",0.037313263283723
"1266",0.0357191322280153
"1268",0.0338653047352566
"1270",0.0317271223855451
"1272",0.0293867594151669
"1274",0.026788471521018
"1276",0.023923849422159
"1278",0.0208386441259836
"1280",0.0175184303575205
"1282",0.0140158508329482
"1284",0.0104248056907549
"1286",0.00673906724699821
"1288",0.00294485048116986
"1290",-0.000893647152634031
"1292",-0.00473816155729187
"1294",-0.00855222730892137
"1296",-0.0123638210769912
"1298",-0.0162837703180144
"1300",-0.0202809980554164
"1302",-0.0242861609884653
"1304",-0.028366365684083
"1306",-0.0325353977522114
"1308",-0.0366970565282416
"1310",-0.0407776855443682
"1312",-0.0448745902460218
"1314",-0.0489544063137523
"1316",-0.0530497629780833
"1318",-0.0572355799251614
"1320",-0.0613696288579481
"1322",-0.0653874305088003
"1324",-0.0693408941961245
"1326",-0.0731568307254551
"1328",-0.0766567405230363
"1330",-0.0798171688395607
"1332",-0.0827772827851038
"1334",-0.0854600857745442
"1336",-0.0879129767718861
"1338",-0.0902036650669864
"1340",-0.0921899308870221
"1342",-0.0938886066503766
"1344",-0.0954031273241439
"1346",-0.0967816209344403
"1348",-0.0980111750294394
"1350",-0.0991805775023377
"1352",-0.100528805114699
"1354",-0.102100209935491
"1356",-0.104081912881665
"1358",-0.106648346807936
"1360",-0.109859009719622
"1362",-0.11390980459346
"1364",-0.119010435984672
"1366",-0.125378283604978
"1368",-0.133131660922412
"1370",-0.142227644009992
"1372",-0.152574791066615
"1374",-0.164009909056109
"1376",-0.176363610168626
"1378",-0.18923366203178
"1380",-0.202098075436414
"1382",-0.214382676386514
"1384",-0.225553291652928
"1386",-0.234862690709817
"1388",-0.2414363265837
"1390",-0.24460434164429
"1392",-0.243864779350162
"1394",-0.239058176702167
"1396",-0.230191839988528
"1398",-0.217471593188456
"1400",-0.201525018276658
"1402",-0.183159180669554
"1404",-0.163171440931211
"1406",-0.142241902978521
"1408",-0.120974904393212
"1410",-0.100098533764753
"1412",-0.0801177108367403
"1414",-0.0613746244293506
"1416",-0.0439583648519574
"1418",-0.0280093424892295
"1420",-0.0136639923869909
"1422",-0.000861796473967148
"1424",0.0103751854271785
"1426",0.020073312821802
"1428",0.0283992886218776
"1430",0.0353220830073552
"1432",0.0408628464818517
"1434",0.0452867498932003
"1436",0.0488184979897241
"1438",0.0516929855465069
"1440",0.054002635405464
"1442",0.0557988141114998
"1444",0.0571024626713426
"1446",0.0578940255926411
"1448",0.0582732121194211
"1450",0.058387123585199
"1452",0.0582641963766439
"1454",0.0579921719907672
"1456",0.0577650549350842
"1458",0.0577462803333526
"1460",0.0577727765687742
"1462",0.0576868535000434
"1464",0.0573574666996123
"1466",0.0568249063028338
"1468",0.0563527096127225
"1470",0.0559671260427293
"1472",0.0554540891341886
"1474",0.054685180503878
"1476",0.0536451568952665
"1478",0.0522814451249054
"1480",0.050631599058212
"1482",0.048788374965278
"1484",0.0466243198066977
"1486",0.044168901520693
"1488",0.04153116814681
"1490",0.0386832635022415
"1492",0.0355662975463119
"1494",0.0322335882270156
"1496",0.0287188381535614
"1498",0.0252221404334462
"1500",0.0220030011869108
"1502",0.019209075083388
"1504",0.0167922613258907
"1506",0.0149343750343975
"1508",0.0138225759733402
"1510",0.013237923260132
"1512",0.0131403223802808
"1514",0.0136899118423568
"1516",0.0147957993185298
"1518",0.0163589889152168
"1520",0.0182427548543975
"1522",0.0204374261656745
"1524",0.0230737584890231
"1526",0.0263290788704356
"1528",0.0299286209908992
"1530",0.0335697029143635
"1532",0.0375324367958699
"1534",0.04183875392682
"1536",0.04617209482822
"1538",0.0506258857768836
"1540",0.0552647194043614
"1542",0.060008498540403
"1544",0.0647672642618573
"1546",0.0695472849320346
"1548",0.0741572931523986
"1550",0.0785420652931788
"1552",0.0827823053925517
"1554",0.0867309283371262
"1556",0.0902994526754498
"1558",0.0936634280607527
"1560",0.0969125811321068
"1562",0.0999138162490779
"1564",0.102706673119612
"1566",0.105418767391491
"1568",0.107963369544637
"1570",0.11022014262734
"1572",0.112235684444293
"1574",0.114185051079828
"1576",0.116039387431932
"1578",0.11765961477598
"1580",0.11908281152121
"1582",0.120372103220032
"1584",0.121561337803474
"1586",0.122562460890931
"1588",0.123320905454629
"1590",0.123841084837686
"1592",0.124218587544848
"1594",0.124474532389435
"1596",0.124455493700563
"1598",0.124194826057802
"1600",0.12375011989208
"1602",0.12315202648323
"1604",0.122408812413365
"1606",0.121392432139273
"1608",0.120176232443221
"1610",0.118889752130717
"1612",0.117549712146542
"1614",0.116123780177037
"1616",0.114515021898359
"1618",0.112818440550077
"1620",0.111017740100688
"1622",0.109113314055508
"1624",0.107189229884908
"1626",0.10507919989276
"1628",0.1027293953078
"1630",0.10027801629035
"1632",0.0978190097383514
"1634",0.0952289168038195
"1636",0.0925052223054124
"1638",0.0897334030100312
"1640",0.0868125089877732
"1642",0.0838765907404479
"1644",0.0809973441722561
"1646",0.0781312165195074
"1648",0.0752380511329364
"1650",0.0723846912919631
"1652",0.0695885988578266
"1654",0.0667543218738542
"1656",0.0640075169812
"1658",0.0613075041800022
"1660",0.0585937672129663
"1662",0.05611723718874
"1664",0.0539880876341806
"1666",0.0522363625384864
"1668",0.0509142309832472
"1670",0.0501215762110327
"1672",0.0500378645213015
"1674",0.0508044896462108
"1676",0.0525415608202294
"1678",0.0552241785554169
"1680",0.0587869064694564
"1682",0.0630065939726357
"1684",0.0674899305930983
"1686",0.0719058833983256
"1688",0.0759196406485613
"1690",0.0793613397763299
"1692",0.0822083707960633
"1694",0.0845353222310343
"1696",0.0864786604655879
"1698",0.0881039719031022
"1700",0.0894622658893425
"1702",0.0904907249360092
"1704",0.0912005303726956
"1706",0.0916388538425854
"1708",0.0915833512506694
"1710",0.0910452632963123
"1712",0.0901437517387936
"1714",0.0890391901357726
"1716",0.0879338635303173
