"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8","Comp 9"
"750",0.109619070561527,0.081603423533008,-0.110185831197363,-0.0424690935659133,0.0559182550346257,0.26372613663549,-0.125913400377902,-0.270015981650178,-0.154481870933151
"752",0.10438355893042,0.0798332770267774,-0.121308073164555,-0.0465040649842356,0.0467088695992416,0.247524615589782,-0.110120147934365,-0.23411238278339,-0.108045850914732
"754",0.0981352293813562,0.0775456167465136,-0.133233471171141,-0.0508205997672459,0.0362560424628608,0.228485632157321,-0.0920765125427606,-0.193156667080839,-0.0558411403943055
"756",0.0907076407479295,0.0746235479681359,-0.145848704765289,-0.0553741907610776,0.0244533273549788,0.20619687590218,-0.0715590929225391,-0.146663053330051,0.00249549912632942
"758",0.0819441671492109,0.0709430433605361,-0.158939105624356,-0.0600829778891849,0.0112436669526815,0.180294124581524,-0.0484221416291447,-0.0943261028050717,0.0670483643292691
"760",0.071726890177682,0.0663874278960849,-0.172163605368266,-0.0648189238569362,-0.00334428165571249,0.15054265826227,-0.0226630385277657,-0.0361678449284151,0.137453145817812
"762",0.0603725113320341,0.0612589443829423,-0.184524604700276,-0.0723106549306587,-0.0207858091621571,0.122189478152295,-0.00610969373922022,0.0112934882688878,0.178910359777388
"764",0.0495966141582801,0.0575283962929571,-0.193119597375613,-0.0768745924249442,-0.0363379794971054,0.0992413458306352,0.00864598579261878,0.054376730225296,0.206961860532206
"766",0.0399242486267009,0.0550045549699157,-0.197948249608102,-0.0812755735968535,-0.0504229485907679,0.0863656016532464,0.0214855699260287,0.0890772640318459,0.220075931752537
"768",0.0313049655311786,0.0536084085902568,-0.199514573853219,-0.0857598791605502,-0.0643556383970035,0.0774227054262193,0.0213781972774446,0.106514369740409,0.203671909741908
"770",0.0243366897477834,0.0535767294474057,-0.198017025336688,-0.0892182058570608,-0.0763224083737497,0.0713164905904823,0.0185571952104553,0.109774600242847,0.16102280980305
"772",0.0191243791857054,0.0550876588652951,-0.193883877182169,-0.088637492692882,-0.0851149510565544,0.0656965802099863,0.0192909506818658,0.101971645915145,0.0993718593199536
"774",0.0155665835660535,0.0579030899804845,-0.187915950081525,-0.0824764218333505,-0.0908459000648431,0.0582162219942491,0.0166860983123921,0.0843273595761547,0.0217308118754382
"776",0.0139251234267423,0.0622028747511294,-0.180205394689325,-0.0685866718335273,-0.0929175251114905,0.0469592732422319,0.00590446081878622,0.0573603521248317,-0.0671304823481606
"778",0.013521145457963,0.0672270338001965,-0.171725443016426,-0.0510879012941419,-0.0917438507901557,0.0337901166635879,0.00314700950785949,0.0380691316841392,-0.128268333555799
"780",0.0141924273712661,0.07283291182954,-0.162395866705031,-0.0283353633195239,-0.085459881992914,0.0195415395136851,0.0204865412156779,0.0330470752307971,-0.15062995523957
"782",0.0156770655590154,0.0785691747361776,-0.152340945939207,0.000638245421583278,-0.0738696302890311,0.0048737687822647,0.0427819328266803,0.0336416687782183,-0.152435326478566
"784",0.0175920115784235,0.0840021495095974,-0.142060058828585,0.0319063049620576,-0.0603885165332441,-0.0109193235368229,0.0575482153358795,0.0319261174094424,-0.14966768985726
"786",0.0198695241417956,0.0889208438785495,-0.132367306541927,0.0605906615140514,-0.0488337903158944,-0.0292685630701188,0.0585317881763694,0.0244495258573971,-0.15567282228606
"788",0.0220009219324847,0.0928074592191126,-0.124374992850955,0.0833329162725789,-0.0410303278969784,-0.0478910031964137,0.0501253279974451,0.0157890430929444,-0.163452100119781
"790",0.0238936931148539,0.0956088439224741,-0.118625694036049,0.100475881956382,-0.0342127926548919,-0.063113505927029,0.0434674348837871,0.0158401398911534,-0.147950563945327
"792",0.0263063595800171,0.0980617693776951,-0.114327986837425,0.115990931360427,-0.0244236786903745,-0.0723861934451804,0.0535283285757184,0.0242404181446034,-0.117281888794153
"794",0.0293311008392341,0.100033799603917,-0.111678058525484,0.129665393460894,-0.0134104440544413,-0.0801354940458352,0.0733402855779751,0.0338308502646315,-0.090495799873539
"796",0.0330082637348481,0.100975632438373,-0.111620085339892,0.139947937889092,-0.00366256669910653,-0.0906548216525705,0.0847317366696647,0.0364228793207768,-0.0724990107293796
"798",0.0375981825085405,0.100504772044777,-0.114270001492758,0.148503598111499,0.00540708125889833,-0.106777687427662,0.0729916621851553,0.0222520761116283,-0.0823249477489466
"800",0.0434439589168504,0.098309735586922,-0.119346883670946,0.15749490058002,0.0191787596125591,-0.120954982888346,0.0713492140653591,0.0111198273538729,-0.0809550016866475
"802",0.050709968605565,0.0933669992474445,-0.126949671729757,0.165219344162961,0.0392060568628089,-0.135441540310598,0.0847114392180448,0.00882036840176625,-0.0485095131609144
"804",0.0595282995773854,0.0835982926457979,-0.136692691974238,0.168415027196888,0.0637745085860012,-0.156411058820684,0.0845319833579613,0.00227839655234166,-0.00157484695463347
"806",0.0683084778183583,0.0658827384712701,-0.146223659294237,0.163075894772716,0.0901772388587124,-0.184215382761845,0.0478231611045596,-0.0239872565779323,0.0338414481235878
"808",0.0740228204255451,0.0379603205315307,-0.150841451087682,0.141132371529129,0.111753038081666,-0.211590679923264,-0.012690837145592,-0.0617187061988569,0.0714794540279229
"810",0.0729648625475608,0.00181657336252177,-0.146145102373245,0.0964790174509444,0.118022856999707,-0.228105496205347,-0.082992059266697,-0.101844243334068,0.0934396092793234
"812",0.0652352235818188,-0.0336896693839229,-0.130669541890945,0.0429922465825614,0.112690224713247,-0.222691709268957,-0.130540680366113,-0.124196721684266,0.107771329208705
"814",0.05524810675524,-0.0601897768554165,-0.110072634284676,-0.00223333820103457,0.103057158863618,-0.200607405751493,-0.152106327760064,-0.137622559575271,0.0898699737063566
"816",0.0463818311079132,-0.0771942730335056,-0.0907589398155236,-0.0330767396752257,0.0945729865325537,-0.172415780208653,-0.151107706883274,-0.141213305193913,0.0648037030238916
"818",0.0398211321851183,-0.0872584209567565,-0.0749149308231854,-0.0510264288284935,0.0900058965709243,-0.143357016247211,-0.137422467567356,-0.137563607113357,0.0565345077053684
"820",0.0360126488414612,-0.0922881656402899,-0.0625144001299822,-0.0632907328059778,0.0854076768367669,-0.119944524801311,-0.124270813313288,-0.133024714525517,0.0451617164952065
"822",0.0343967289877603,-0.0940405298275424,-0.0525678227384538,-0.0684693064151172,0.0844530172639386,-0.0978804104018539,-0.100516300078604,-0.122433343289081,0.0439140794639722
"824",0.0344238919596059,-0.0936482722138506,-0.0446509228992838,-0.0697589561312048,0.0853280043698237,-0.0790868100827638,-0.0746717092508437,-0.111123182497944,0.0476242352799002
"826",0.0358360285067327,-0.091592526092461,-0.0380578556771322,-0.0692251395786985,0.0868197633780834,-0.0636054578741115,-0.0462287690525918,-0.0977936548750109,0.0574193112660512
"828",0.0383424903708462,-0.0882763940806897,-0.0324405127019177,-0.0677225169524645,0.0883476777290904,-0.051410585271983,-0.0200029435576134,-0.0849348133823016,0.0654675838981182
"830",0.041729992647054,-0.0839475601386517,-0.0276371248623388,-0.0656950476588257,0.0900779742503823,-0.0412463526218707,0.00718777484250664,-0.0703450481098772,0.0772572489278201
"832",0.0459198675463703,-0.0786924731347676,-0.0237250833655231,-0.064433261883198,0.0909790888246733,-0.0333839392280901,0.0384666752854036,-0.051803063743101,0.0951438354986988
"834",0.0507984192280629,-0.0725779814682259,-0.0205203198885141,-0.0641472914660227,0.0911697675166584,-0.0272398527198985,0.0738482761682627,-0.0296123238360254,0.115275397660895
"836",0.0561304787464356,-0.0658600751279965,-0.0182446944522575,-0.0656397531413084,0.0894778937600388,-0.024345188808729,0.106818122231414,-0.00818496168126861,0.126068808467733
"838",0.061661579684997,-0.0588169822789823,-0.0171934270838272,-0.0698048644193335,0.0852364711176875,-0.0241332905549053,0.142100942913263,0.0173155767096762,0.133639988463129
"840",0.0669740183156155,-0.0519140945415805,-0.0173862733560812,-0.0753534080747435,0.0795558328035876,-0.0264534903780407,0.175930202479116,0.0428424532226198,0.133419385250421
"842",0.0715807062013861,-0.0457621518915628,-0.0193905469145311,-0.0861318827849838,0.0688138125662584,-0.0351496706074836,0.194386778709941,0.0617016355811764,0.107542438273926
"844",0.07468289668565,-0.0414616518309244,-0.0230547461810514,-0.100208674195265,0.0554611256396407,-0.0468302599486804,0.197158581579223,0.0749984428166073,0.0634120482580357
"846",0.0761779665006351,-0.0392663624646453,-0.0274886914733704,-0.114776867491774,0.0414779618924941,-0.0596790946721844,0.188737083772445,0.0828099463462012,0.0143859514544125
"848",0.0765647070137754,-0.0386338046375249,-0.0318955993386137,-0.127630113526475,0.0281124356766684,-0.0728136060911882,0.171342231966402,0.0846745646869473,-0.0339091285647154
